RecordedDate,choice,age,gender,gender_3_TEXT
6/4/21 15:38,2,27,1,
6/4/21 15:38,2,38,0,
6/4/21 15:38,1,29,0,
6/4/21 15:38,1,44,1,
6/4/21 15:38,2,37,1,
6/4/21 15:39,2,41,1,
6/4/21 15:39,1,28,1,
6/4/21 15:39,1,49,0,
6/4/21 15:39,1,65,0,
6/4/21 15:39,1,27,1,
6/4/21 15:39,2,38,1,
6/4/21 15:39,2,22,0,
6/4/21 15:39,1,50,0,
6/4/21 15:39,2,34,0,
6/4/21 15:39,1,28,1,
6/4/21 15:39,2,36,1,
6/4/21 15:39,2,27,0,
6/4/21 15:39,2,65,1,
6/4/21 15:39,2,33,1,
6/4/21 15:39,2,34,1,
6/4/21 15:40,1,47,0,
6/4/21 15:40,2,33,1,
6/4/21 15:40,2,36,1,
6/4/21 15:40,2,27,0,
6/4/21 15:40,1,32,1,
6/4/21 15:40,1,56,0,
6/4/21 15:40,1,33,1,
6/4/21 15:40,2,24,0,
6/4/21 15:40,2,43,1,
6/4/21 15:40,2,23,1,
6/4/21 15:40,2,31,0,
6/4/21 15:40,1,54,0,
6/4/21 15:40,2,57,0,
6/4/21 15:40,1,32,1,
6/4/21 15:40,2,40,1,
6/4/21 15:41,2,49,1,
6/4/21 15:41,1,41,0,
6/4/21 15:41,1,40,0,
6/4/21 15:41,1,44,0,
6/4/21 15:41,1,35,2,
6/4/21 15:41,2,22,1,
6/4/21 15:41,1,48,0,
6/4/21 15:41,2,26,0,
6/4/21 15:41,2,43,0,
6/4/21 15:41,1,34,4,
6/4/21 15:41,1,46,1,
6/4/21 15:41,1,36,0,
6/4/21 15:41,2,23,1,
6/4/21 15:41,2,38,1,
6/4/21 15:41,2,39,1,
6/4/21 15:41,2,39,0,
6/4/21 15:41,2,53,0,
6/4/21 15:42,2,26,0,
6/4/21 15:42,2,59,0,
6/4/21 15:42,1,53,0,
6/4/21 15:42,2,22,1,
6/4/21 15:42,2,35,0,
6/4/21 15:42,2,27,0,
6/4/21 15:42,2,29,1,
6/4/21 15:42,2,59,0,
6/4/21 15:42,1,53,0,
6/4/21 15:43,1,62,0,
6/4/21 15:43,1,42,0,
6/4/21 15:43,2,28,0,
6/4/21 15:43,1,25,1,
6/4/21 15:43,1,32,1,
6/4/21 15:43,2,36,0,
6/4/21 15:43,2,22,1,
6/4/21 15:43,1,27,1,
6/4/21 15:43,2,70,1,
6/4/21 15:44,2,25,0,
6/4/21 15:44,2,62,0,
6/4/21 15:44,2,25,1,
6/4/21 15:44,1,58,1,
6/4/21 15:44,2,37,0,
6/4/21 15:44,2,71,0,
6/4/21 15:45,2,42,1,
6/4/21 15:45,1,31,0,
6/4/21 15:45,1,27,0,
6/4/21 15:46,2,50,1,
6/4/21 15:46,2,37,1,
6/4/21 15:47,1,36,1,
6/4/21 15:48,1,26,1,
6/4/21 15:49,1,33,0,
6/4/21 15:51,2,35,1,
6/4/21 15:51,2,24,1,
6/4/21 15:53,1,37,1,
6/4/21 15:55,2,25,1,
6/4/21 16:07,2,36,1,
6/4/21 16:09,2,43,1,
6/4/21 16:09,2,25,0,
6/4/21 16:10,2,36,0,
6/4/21 16:10,2,32,1,
6/4/21 16:10,2,65,0,
6/4/21 16:10,2,56,1,
6/4/21 16:10,2,28,0,
6/4/21 16:12,2,58,1,
6/4/21 16:21,2,22,0,
6/4/21 16:25,2,29,1,
6/4/21 16:30,1,36,1,
6/4/21 19:39,,,,