RecordedDate,Beer,Clothes,Sedan,Soda,Smartphone,Gas,Creditcard,Moisturizer,Hotel,SearchEngine,camera,TV,burger,shoes,laptop,mailservice
11/23/21 21:23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
11/23/21 21:28,3,2,1,1,1,3,3,3,4,1,4,3,4,3,2,3
11/23/21 21:28,5,3,3,2,2,3,3,3,3,1,3,3,2,2,3,1
11/23/21 21:28,3,1,5,5,1,3,3,3,5,1,5,5,5,5,5,5
11/23/21 21:28,2,1,3,1,3,3,4,2,2,1,1,2,1,5,3,3
11/23/21 21:28,5,1,1,5,1,5,5,1,1,5,5,1,1,5,1,5
11/23/21 21:28,3,3,3,3,5,5,1,1,1,3,3,1,1,1,1,1
11/23/21 21:28,1,1,1,1,1,5,5,1,1,1,1,1,1,5,1,3
11/23/21 21:28,3,1,5,5,1,1,1,3,3,1,1,5,1,1,1,3
11/23/21 21:28,1,2,2,3,2,3,3,2,3,1,3,3,2,2,2,3
11/23/21 21:28,5,3,5,5,5,5,1,5,1,1,3,3,2,2,2,2
11/23/21 21:28,4,4,1,4,1,2,4,4,4,4,3,2,4,1,4,4
11/23/21 21:29,1,1,3,3,1,3,3,3,5,1,3,3,3,1,3,3
11/23/21 21:29,3,1,1,1,1,3,3,3,3,1,3,1,3,3,3,3
11/23/21 21:29,1,1,1,1,1,3,1,3,3,1,1,1,1,1,1,1
11/23/21 21:29,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/23/21 21:29,3,3,1,1,3,2,3,2,3,1,4,2,3,2,4,3
11/23/21 21:29,1,1,5,1,1,5,5,5,5,1,5,5,2,5,5,2
11/23/21 21:29,4,3,3,3,4,2,3,3,2,4,4,1,4,3,2,3
11/23/21 21:30,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,3
11/23/21 21:30,3,3,1,3,1,3,5,1,1,3,1,1,5,1,5,3
11/23/21 21:30,1,1,1,1,5,3,5,5,5,1,5,5,5,5,1,5
11/23/21 21:30,2,3,3,1,1,3,3,3,3,1,2,2,2,2,1,2
11/23/21 21:30,2,1,1,2,3,5,4,4,5,4,2,3,2,4,4,5
11/23/21 21:30,2,5,4,4,5,5,5,4,4,2,2,4,5,4,2,4
11/23/21 21:30,5,5,5,1,1,5,5,5,5,1,5,5,1,5,5,5
11/23/21 21:31,5,5,1,3,1,1,1,1,3,1,3,1,3,1,1,1
11/23/21 21:31,1,1,1,3,1,3,2,1,3,1,3,3,2,1,3,3
11/23/21 21:31,1,4,3,1,1,1,5,5,5,1,5,5,5,5,1,1
11/23/21 21:31,2,3,5,5,2,1,5,2,3,1,3,4,5,5,1,1
11/23/21 21:32,3,1,3,1,1,3,3,1,1,1,1,1,1,1,1,3
11/23/21 21:32,1,3,2,3,1,1,5,2,5,3,3,5,3,1,3,3
11/23/21 21:33,1,3,1,1,3,3,3,3,3,1,1,3,3,1,3,3
11/23/21 21:33,3,2,1,4,1,3,1,5,2,2,5,4,2,2,1,2
11/23/21 21:33,1,1,3,3,1,3,3,3,1,1,3,1,1,3,1,1
11/23/21 21:34,1,3,3,3,2,1,3,3,3,1,3,3,3,3,2,3
11/23/21 21:34,5,5,1,5,3,5,1,1,5,1,3,5,1,3,3,1
11/23/21 21:34,1,1,1,3,1,1,3,3,1,1,1,1,3,5,1,3
11/23/21 21:34,2,3,3,3,5,3,3,3,3,2,3,3,2,4,3,3
11/23/21 21:35,1,1,1,1,1,5,1,5,2,1,5,2,1,2,1,3
11/23/21 21:35,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/23/21 21:35,4,5,4,3,1,5,1,5,4,2,4,4,5,2,4,5
11/23/21 21:36,5,1,1,5,5,1,3,1,3,1,1,5,3,1,1,1
11/23/21 21:36,1,5,3,3,1,1,2,1,3,3,2,3,3,1,3,3
11/23/21 21:37,5,3,4,2,4,1,3,3,4,5,3,2,3,4,3,2
11/23/21 21:37,2,2,2,2,2,3,3,3,4,2,1,3,3,3,2,3
11/23/21 21:37,1,3,3,1,1,3,1,3,1,1,3,1,3,1,1,3
11/23/21 21:37,3,3,3,3,2,1,1,2,3,1,3,2,1,2,1,3
11/23/21 21:37,1,1,1,1,1,3,3,1,3,1,1,1,1,5,1,5
11/23/21 21:38,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2
11/23/21 21:38,3,1,5,1,5,3,3,3,1,3,5,5,3,5,1,3
11/23/21 21:38,3,3,1,5,1,1,3,3,5,1,5,5,5,1,5,3
11/23/21 21:38,3,2,1,3,1,3,1,3,3,1,1,1,1,1,2,2
11/23/21 21:39,1,1,1,1,1,3,3,1,3,1,3,3,1,1,1,3
11/23/21 21:39,3,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1
11/23/21 21:39,1,2,1,1,1,3,3,2,1,1,2,1,1,1,2,3
11/23/21 21:40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/23/21 21:41,1,3,1,1,1,3,1,3,5,3,5,1,5,1,1,1
11/23/21 21:42,1,5,1,3,1,5,3,3,5,1,1,1,5,1,1,1
11/23/21 21:42,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/23/21 21:42,1,3,1,1,3,3,3,1,2,1,1,2,3,3,2,2
11/23/21 21:42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/23/21 21:43,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
11/23/21 21:44,1,5,1,5,1,1,5,5,5,1,5,5,5,5,5,3
11/23/21 21:44,1,5,3,1,1,3,3,3,3,1,1,1,3,3,3,3
11/23/21 21:45,5,1,5,1,1,1,5,1,5,5,1,1,1,1,1,1
11/23/21 21:46,1,2,1,2,3,2,3,3,3,2,2,2,2,3,4,4
11/23/21 21:47,4,1,2,1,3,1,1,5,1,1,1,1,1,2,1,3
11/23/21 21:47,5,5,1,1,1,1,1,1,1,1,5,5,1,1,1,5
11/23/21 21:47,5,2,1,3,1,4,3,5,2,1,2,4,5,2,3,1
11/23/21 21:48,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
11/23/21 21:48,5,1,2,1,3,4,4,3,4,1,4,4,2,4,1,2
11/23/21 21:48,3,5,1,1,3,4,5,5,5,1,5,1,1,1,5,5
11/23/21 21:49,1,1,1,3,1,3,3,1,3,1,3,3,1,1,1,3
11/23/21 21:49,3,4,4,3,3,4,4,4,2,3,3,4,4,2,1,2
11/23/21 21:49,3,2,2,2,2,3,4,2,4,2,3,3,4,3,3,3
11/23/21 21:50,5,3,1,1,1,3,5,5,5,1,5,5,3,5,1,1
11/23/21 21:50,2,1,1,1,1,1,3,3,5,1,1,1,2,1,1,1
11/23/21 21:51,3,1,2,1,1,3,3,3,3,1,1,2,1,4,1,2
11/23/21 21:51,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1
11/23/21 21:51,1,2,2,3,1,5,3,2,2,2,5,3,2,2,3,2
11/23/21 21:54,4,2,1,3,2,1,3,3,4,1,3,2,4,3,1,4
11/23/21 21:54,2,4,3,1,1,3,3,2,3,2,4,2,3,2,3,3
11/23/21 21:55,2,1,1,1,1,3,3,3,3,1,3,1,1,1,1,3
11/23/21 21:55,3,1,5,3,3,5,1,2,2,1,4,5,5,5,3,3
11/23/21 21:56,3,1,2,2,1,1,3,2,3,1,2,2,1,2,1,3
11/23/21 21:56,1,1,1,1,1,1,3,1,1,3,3,1,1,3,1,1
11/23/21 21:58,3,3,3,1,1,1,3,3,3,1,1,3,1,1,1,3
11/23/21 21:59,4,3,2,2,1,3,3,3,3,1,3,3,3,3,1,3
11/23/21 22:01,2,2,1,3,3,3,3,1,3,1,3,1,1,1,1,3
11/23/21 22:02,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/23/21 22:03,3,2,1,3,1,3,3,3,5,1,3,5,1,3,1,1
11/23/21 22:06,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,2
11/23/21 22:06,1,5,5,1,1,5,1,1,5,1,1,1,1,5,1,5
11/23/21 22:08,4,2,2,3,4,2,2,3,1,1,3,4,2,1,2,3
11/23/21 22:10,5,5,1,3,1,3,3,1,3,3,5,1,1,3,1,3
11/23/21 22:10,3,3,1,1,1,3,1,2,1,3,1,1,1,2,1,3
11/23/21 22:13,5,1,3,3,1,5,5,5,5,1,1,5,1,1,1,5
11/23/21 22:14,3,3,5,3,1,3,3,1,1,3,1,3,1,1,1,3
11/23/21 22:14,1,1,4,1,5,1,1,5,5,1,5,2,1,2,2,2