condition,DV,surprise,quality,ease,effort,discover,get.fav,age,gender
1,1,5,3,4,2,5,2,26,1
1,1,3,4,4,4,3,3,23,0
1,1,5,3,4,3,2,1,36,1
1,1,5,1,1,1,5,1,35,1
1,1,4,4,3,3,2,5,71,1
1,1,5,4,5,5,5,1,39,1
1,1,2,2,2,4,4,2,40,1
1,1,5,4,4,3,5,4,31,1
1,1,3,5,5,5,5,5,28,1
1,1,1,3,4,1,2,5,29,0
1,1,4,5,3,5,4,5,29,1
1,1,5,3,4,4,4,2,36,1
1,1,5,3,4,2,5,2,31,0
1,1,4,3,2,1,4,2,26,0
2,1,5,5,5,5,5,5,35,0
2,1,4,4,4,5,5,3,28,0
2,1,4,3,4,3,4,3,34,0
2,1,5,2,2,2,1,1,49,0
2,1,2,3,3,1,3,2,36,0
2,1,1,4,4,1,4,4,40,0
2,1,5,5,5,5,5,1,32,1
2,1,2,3,2,2,4,3,37,1
2,1,4,3,5,4,5,4,30,1
2,1,5,4,4,5,4,4,22,1
2,1,2,4,3,2,1,2,46,0
2,1,1,5,1,1,1,1,40,0
2,1,2,4,1,1,3,2,31,0
2,1,4,4,4,4,4,4,29,0
2,1,2,5,4,1,1,4,33,0
2,1,4,4,5,4,5,5,19,1
2,1,3,4,4,1,4,3,28,0
2,1,4,4,1,1,4,1,43,1
2,1,4,2,4,3,4,3,31,1
2,1,1,4,3,2,1,3,46,1
2,1,5,1,5,5,5,1,55,1
2,1,5,4,5,3,4,3,29,0
2,1,5,5,5,5,5,5,67,0
2,1,5,5,5,5,5,5,35,0
2,1,5,4,2,1,1,4,28,0
2,1,5,4,1,1,5,2,26,0
2,1,4,4,3,3,4,3,25,1
2,1,5,5,5,5,5,1,32,1
2,1,2,3,1,1,1,2,36,1
2,1,5,4,2,1,4,2,34,1
2,1,4,4,2,2,5,4,42,1
2,1,5,3,2,1,5,3,46,0
2,1,5,5,5,5,5,3,36,1
2,1,5,4,4,4,5,3,31,0
2,1,5,4,3,3,4,5,49,1
2,1,1,2,1,1,1,1,54,0
2,1,3,4,4,4,3,4,32,0
3,1,4,3,3,4,4,4,58,1
3,1,2,4,1,1,1,5,30,0
3,1,2,5,2,2,3,5,24,0
3,1,1,5,4,5,1,5,55,0
3,1,4,5,4,3,4,3,68,1
3,1,2,5,4,3,1,5,28,1
3,1,4,5,2,1,2,2,56,0
3,1,4,5,3,2,4,1,24,0
3,1,2,5,2,1,2,5,37,0
3,1,3,4,4,4,4,4,53,1
3,1,3,3,2,2,3,3,64,1
3,1,5,5,1,1,5,5,52,0
3,1,4,4,2,2,4,4,24,0
3,1,4,4,2,2,1,4,26,1
3,1,1,5,5,1,1,5,65,0
3,1,5,5,5,5,5,5,32,0
3,1,5,5,5,5,5,5,28,0
3,1,2,4,2,2,3,3,39,1
3,1,5,5,5,5,5,5,25,1
3,1,3,4,4,2,4,3,53,0
3,1,3,4,2,3,2,4,29,0
3,1,3,4,2,1,1,4,25,0
3,1,1,4,3,1,1,4,32,1
3,1,4,3,4,3,4,4,22,1
3,1,5,3,2,2,5,3,24,1
3,1,5,5,5,5,5,3,61,0
3,1,3,2,3,4,3,2,25,1
3,1,3,2,2,2,2,4,46,0
3,1,1,5,1,1,1,5,26,1
3,1,3,5,3,4,4,3,30,1
3,1,5,5,3,1,4,3,29,1
3,1,3,3,3,3,3,3,34,1
3,1,4,4,3,4,3,4,29,1
3,1,3,3,5,3,3,4,29,1
3,1,2,4,4,4,2,5,19,1
3,1,4,2,3,2,5,2,24,0
3,1,3,4,3,1,3,3,41,0
3,1,1,4,1,1,2,1,35,1
1,2,1,5,5,1,1,5,28,0
1,2,1,5,5,3,3,5,25,1
1,2,2,4,2,2,2,4,26,1
1,2,1,1,1,1,1,5,21,1
1,2,1,5,1,1,1,5,58,1
1,2,1,4,3,1,1,5,28,0
1,2,2,2,3,1,4,5,23,0
1,2,1,5,5,1,1,5,65,0
1,2,1,4,4,4,1,5,32,1
1,2,1,3,3,2,2,5,39,1
1,2,1,3,4,1,1,5,44,1
1,2,1,3,1,1,1,5,65,1
1,2,1,5,3,3,1,4,54,0
1,2,1,4,2,2,1,4,30,1
1,2,2,3,2,2,2,4,43,0
1,2,1,3,5,5,1,5,35,1
1,2,1,4,3,2,2,5,67,1
1,2,1,4,2,1,1,5,32,1
1,2,1,4,4,2,1,4,33,0
1,2,1,4,4,2,1,5,46,0
1,2,1,3,4,2,1,5,36,0
1,2,3,4,4,4,3,5,28,1
1,2,1,2,1,1,1,5,31,1
1,2,5,3,1,1,5,1,32,0
1,2,1,5,4,1,1,5,61,1
1,2,1,3,2,1,3,4,33,1
1,2,2,1,3,3,3,4,52,1
1,2,1,5,2,1,1,5,66,0
1,2,1,5,5,3,3,5,30,1
1,2,1,4,3,2,2,5,55,1
1,2,1,3,1,1,1,5,38,0
1,2,2,5,5,2,2,5,32,1
1,2,1,5,3,1,1,5,43,1
1,2,2,4,4,1,2,4,32,1
1,2,1,4,3,3,3,5,48,1
1,2,1,5,5,1,1,5,53,0
2,2,1,5,5,3,1,5,36,1
2,2,1,3,4,1,1,5,22,1
2,2,1,4,4,4,2,4,56,1
2,2,1,4,4,5,1,5,21,1
2,2,1,2,2,2,1,2,51,1
2,2,1,3,3,2,2,4,45,1
2,2,2,3,3,2,2,3,61,0
2,2,1,4,2,2,1,4,32,1
2,2,3,4,5,4,3,4,29,0
2,2,1,5,5,1,1,5,43,0
2,2,1,5,5,1,1,5,27,1
2,2,1,5,5,2,1,4,52,1
2,2,4,5,5,4,4,5,32,1
3,2,1,4,1,1,1,4,36,1
3,2,2,3,2,1,2,4,32,1
3,2,2,3,4,3,2,5,34,1
3,2,2,4,2,2,1,5,39,1
3,2,2,3,3,3,4,3,70,1
3,2,1,3,5,3,1,5,30,1
3,2,2,4,3,3,2,4,48,1
3,2,1,3,4,1,1,3,27,1
3,2,1,5,5,2,1,5,53,0
3,2,3,4,3,2,3,3,30,1
3,2,1,4,3,1,1,4,28,0
3,2,1,1,5,5,1,1,35,1