RecordedDate,Condition,difference,desirability,fem,age,gender
10/19/21 18:00,1,3,5,6,33,1
10/19/21 18:01,1,2,3,5,40,1
10/19/21 18:42,1,1,3,5,32,1
10/19/21 17:38,1,3,7,5,44,1
10/19/21 18:05,1,5,5,5,33,0
10/19/21 18:04,1,6,3,5,20,0
10/19/21 18:04,1,2,5,5,37,1
10/19/21 19:34,1,5,7,5,33,0
10/19/21 19:26,1,2,4,4,70,1
10/19/21 17:25,1,6,7,5,47,0
10/19/21 17:50,1,3,2,5,32,1
10/19/21 17:23,1,5,6,5,37,1
10/19/21 19:36,1,2,1,5,30,0
10/19/21 18:41,1,1,1,5,30,0
10/19/21 16:56,1,1,6,5,26,0
10/19/21 18:42,1,3,5,5,62,0
10/19/21 18:45,1,6,8,5,37,1
10/19/21 16:47,1,4,1,6,28,0
10/19/21 18:00,1,1,4,5,80,1
10/19/21 17:17,1,2,3,5,44,0
10/19/21 18:12,1,3,7,5,25,0
10/19/21 19:59,1,2,6,5,38,0
10/19/21 18:50,1,3,4,5,70,1
10/19/21 16:59,1,3,8,5,55,0
10/19/21 19:25,1,1,5,5,35,0
10/19/21 17:35,1,3,4,5,29,0
10/19/21 17:39,1,4,5,5,29,0
10/19/21 17:13,1,6,6,4,53,1
10/19/21 19:51,1,2,8,5,38,1
10/19/21 17:24,1,2,5,5,35,0
10/19/21 19:49,1,4,6,5,40,1
10/19/21 18:03,1,4,6,5,49,1
10/19/21 16:45,1,2,9,5,38,0
10/19/21 17:32,1,1,6,5,25,0
10/19/21 19:56,1,1,6,5,39,0
10/19/21 19:39,1,4,5,5,47,0
10/19/21 16:44,1,4,1,5,40,0
10/19/21 18:12,1,2,5,5,38,1
10/19/21 16:42,1,2,5,5,57,0
10/19/21 19:21,1,4,5,5,24,0
10/19/21 17:11,1,7,8,6,28,0
10/19/21 17:16,1,2,5,5,30,1
10/19/21 18:17,1,4,5,5,27,1
10/19/21 17:09,2,7,5,5,34,1
10/19/21 16:48,2,4,1,5,36,1
10/19/21 16:52,2,6,8,5,50,0
10/19/21 17:01,2,5,6,5,50,1
10/19/21 17:01,2,3,4,5,27,1
10/19/21 16:43,2,6,4,3,40,1
10/19/21 16:48,2,7,9,5,31,0
10/19/21 17:26,2,3,7,5,29,1
10/19/21 18:50,2,5,7,5,51,0
10/19/21 17:03,2,2,3,5,54,0
10/19/21 16:54,2,6,5,7,33,0
10/19/21 17:49,2,2,5,5,27,2
10/19/21 16:58,2,3,6,4,42,0
10/19/21 17:32,2,5,9,5,33,0
10/19/21 18:20,2,2,6,3,53,1
10/19/21 18:26,2,5,1,7,32,0
10/19/21 17:47,2,4,3,2,34,1
10/19/21 16:47,2,3,4,6,27,1
10/19/21 16:52,2,4,6,4,42,0
10/19/21 18:48,2,4,6,6,23,0
10/19/21 18:19,2,1,7,5,54,0
10/19/21 17:32,2,9,4,5,42,0
10/19/21 17:17,2,3,5,4,36,0
10/19/21 16:41,2,9,6,5,33,1
10/19/21 16:56,2,7,4,8,29,1
10/19/21 16:44,2,3,4,5,31,1
10/19/21 16:42,2,4,7,5,33,0
10/19/21 17:08,2,4,4,5,43,0
10/19/21 17:06,2,6,8,5,62,0
10/19/21 17:24,2,2,4,5,30,0
10/19/21 16:41,2,3,4,5,66,0
10/19/21 17:19,2,6,6,6,27,0
10/19/21 18:03,2,4,7,5,46,0
10/19/21 19:31,2,5,7,5,55,0
10/19/21 18:27,2,5,6,4,51,0
10/19/21 17:18,2,2,2,5,49,1
10/19/21 18:56,2,9,9,1,47,0
10/19/21 18:43,2,5,5,5,27,1
10/19/21 18:14,2,5,4,4,46,1
10/19/21 18:17,2,4,7,7,31,1
10/19/21 17:13,2,2,4,6,45,1
10/19/21 17:15,2,5,6,5,33,1
10/19/21 17:13,2,3,6,7,50,0
10/19/21 18:31,2,4,6,5,44,0
10/19/21 17:57,2,4,7,5,67,0
10/19/21 16:45,2,3,5,5,31,0
10/19/21 17:06,2,3,5,5,35,0
10/19/21 18:20,2,6,9,5,22,0
10/19/21 18:45,2,8,7,5,30,1
10/19/21 17:21,2,1,3,5,44,0
10/19/21 16:40,2,5,7,5,28,0
10/19/21 16:48,2,4,7,5,24,0
10/19/21 18:41,2,6,1,5,37,1