RecordedDate,Condition,choiceDV,surprise,focus,rep_surp,focus_b,focus_w,FocusIdx,imagery,Fun,Affect,Cognitive,age,gender
9/20/21 20:25,1,2,5,0,4,5,4,3.5,4,4,3,3,34,1
9/20/21 20:26,1,1,9,4,5,5,5,3,5,3,3,3,29,0
9/20/21 20:26,1,2,9,3,5,5,2,4.5,4,5,4,5,52,1
9/20/21 20:27,1,2,9,4,4,5,2,4.5,3,3,2,2,29,1
9/20/21 20:27,1,2,7,0,5,5,5,3,5,4,4,3,27,1
9/20/21 20:27,1,2,5,0,3,3,3,3,3,4,3,2,31,1
9/20/21 20:28,1,2,6,1,5,4,3,3.5,3,4,3,3,46,0
9/20/21 20:28,1,2,1,-2,5,5,2,4.5,4,4,4,3,45,0
9/20/21 20:28,1,2,9,0,5,5,1,5,5,5,1,4,43,0
9/20/21 20:28,1,2,9,4,5,5,1,5,4,5,5,1,35,0
9/20/21 20:28,1,1,5,-2,2,4,5,2.5,4,4,2,3,37,1
9/20/21 20:29,1,2,7,3,5,4,2,4,5,5,2,2,36,1
9/20/21 20:29,1,2,6,4,5,5,1,5,3,5,1,1,39,0
9/20/21 20:30,1,2,9,4,5,5,4,3.5,5,5,5,5,26,0
9/20/21 20:30,1,2,8,3,4,4,1,4.5,1,1,2,1,29,1
9/20/21 20:30,1,2,8,2,5,5,1,5,4,5,5,1,45,0
9/20/21 20:32,1,2,6,1,1,1,1,3,2,3,4,2,44,0
9/20/21 20:32,1,1,7,-3,5,3,5,2,4,4,3,1,26,1
9/20/21 20:33,1,2,9,3,5,5,2,4.5,5,5,3,1,25,0
9/20/21 20:34,1,2,8,4,5,4,2,4,4,4,4,3,52,0
9/20/21 20:34,1,1,9,-4,5,2,4,2,5,2,3,3,48,0
9/20/21 20:34,1,2,9,4,5,5,2,4.5,5,5,1,5,23,0
9/20/21 20:35,1,2,5,-1,5,4,4,3,2,5,3,4,30,1
9/20/21 20:35,1,2,8,4,5,5,2,4.5,5,4,3,3,39,1
9/20/21 20:35,1,2,9,4,5,5,2,4.5,5,5,5,5,24,0
9/20/21 20:35,1,2,6,3,4,4,2,4,4,4,3,2,44,1
9/20/21 20:35,1,1,2,0,2,4,3,3.5,2,4,3,4,38,0
9/20/21 20:35,1,2,2,0,5,4,2,4,4,3,3,3,63,0
9/20/21 20:36,1,1,3,-4,5,2,4,2,4,4,3,2,42,0
9/20/21 20:36,1,2,6,1,5,5,3,4,5,4,4,4,23,0
9/20/21 20:37,1,1,1,0,5,3,4,2.5,5,3,5,1,34,1
9/20/21 20:37,1,2,7,0,4,3,2,3.5,4,5,3,3,38,1
9/20/21 20:38,1,2,9,-1,5,3,4,2.5,4,4,3,3,23,1
9/20/21 20:38,1,2,9,3,5,5,3,4,5,5,2,3,54,0
9/20/21 20:38,1,2,9,4,4,5,2,4.5,5,4,1,1,26,0
9/20/21 20:39,1,1,1,-2,1,1,4,1.5,1,2,2,2,48,1
9/20/21 20:40,1,2,8,2,5,5,2,4.5,5,4,3,3,28,0
9/20/21 20:40,1,1,8,-2,4,2,5,1.5,4,3,3,3,23,1
9/20/21 20:40,1,2,9,4,5,5,1,5,5,5,3,4,28,1
9/20/21 20:41,1,2,4,-1,4,4,3,3.5,4,4,3,3,46,1
9/20/21 20:43,1,2,9,4,5,4,3,3.5,4,3,4,4,38,1
9/20/21 20:43,1,2,9,2,5,5,3,4,5,5,4,3,38,0
9/20/21 20:43,1,1,3,-4,5,2,5,1.5,5,2,3,1,30,0
9/20/21 20:44,1,2,3,4,5,4,2,4,5,4,3,2,33,1
9/20/21 20:44,1,2,7,1,5,3,3,3,3,4,3,3,35,0
9/20/21 20:44,1,2,8,1,5,3,3,3,5,5,3,3,21,0
9/20/21 20:45,1,2,9,1,5,3,4,2.5,5,5,3,2,31,1
9/20/21 20:46,1,2,5,2,3,3,2,3.5,3,4,4,3,31,1
9/20/21 20:46,1,2,9,4,5,5,5,3,5,5,3,3,56,1
9/20/21 20:46,1,2,8,2,5,5,1,5,3,3,3,3,64,0
9/20/21 20:47,1,1,5,0,4,3,3,3,1,3,3,1,73,0
9/20/21 20:47,1,2,7,1,4,4,2,4,3,4,3,3,43,1
9/20/21 20:48,1,1,2,-3,5,2,4,2,5,2,1,1,61,0
9/20/21 20:48,1,2,9,4,5,4,2,4,5,5,5,3,29,0
9/20/21 20:49,1,2,8,2,4,5,1,5,1,5,4,4,31,0
9/20/21 20:49,1,2,7,4,5,4,2,4,3,3,2,2,38,0
9/20/21 20:50,1,2,7,2,5,4,1,4.5,5,5,3,3,49,0
9/20/21 20:51,1,2,7,2,5,4,2,4,4,4,4,3,30,1
9/20/21 20:51,1,2,9,2,5,4,3,3.5,5,5,3,2,57,0
9/20/21 20:51,1,1,4,0,2,4,3,3.5,3,4,4,2,33,0
9/20/21 20:51,1,2,9,3,5,4,5,2.5,5,4,1,1,38,1
9/20/21 20:51,1,2,7,1,5,4,3,3.5,4,3,3,3,44,0
9/20/21 20:52,1,2,9,0,5,5,1,5,5,5,4,4,32,0
9/20/21 20:54,1,1,3,-2,5,3,4,2.5,4,4,4,4,58,1
9/20/21 20:54,1,1,9,4,1,5,4,3.5,3,2,3,4,28,1
9/20/21 20:55,1,2,9,3,5,4,2,4,5,4,4,5,35,1
9/20/21 20:55,1,1,1,0,5,4,2,4,5,4,1,3,25,0
9/20/21 20:56,1,2,8,3,5,4,4,3,5,4,4,4,59,0
9/20/21 20:56,1,2,8,1,4,3,3,3,4,4,3,3,71,1
9/20/21 20:58,1,2,9,4,5,5,5,3,5,5,1,1,38,1
9/20/21 20:59,1,1,1,-3,5,1,5,1,5,1,1,1,61,1
9/20/21 20:59,1,2,9,0,5,3,3,3,3,5,3,1,27,1
9/20/21 21:01,1,2,8,2,5,4,2,4,4,4,3,3,41,1
9/20/21 21:02,1,1,3,-3,5,3,4,2.5,4,3,4,2,40,0
9/20/21 21:02,1,2,7,2,4,4,3,3.5,4,4,3,3,30,0
9/20/21 21:05,1,1,7,-1,4,3,4,2.5,2,1,3,2,22,1
9/20/21 21:05,1,2,6,0,5,5,2,4.5,4,4,4,4,37,0
9/20/21 21:06,1,2,5,0,3,3,3,3,3,5,1,1,34,0
9/20/21 21:12,1,2,9,1,5,4,3,3.5,5,5,5,5,24,1
9/20/21 21:14,1,1,1,-4,5,1,5,1,5,1,1,1,36,1
9/20/21 21:18,1,2,9,0,5,3,3,3,5,5,5,3,48,0
9/20/21 21:20,1,2,9,0,5,4,2,4,5,5,3,3,38,0
9/20/21 21:23,1,1,7,3,4,5,2,4.5,4,3,4,4,41,1
9/20/21 21:25,1,1,3,-4,4,2,4,2,4,4,4,3,66,1
9/20/21 21:26,1,2,7,4,3,4,2,4,5,5,3,2,41,0
9/20/21 21:28,1,2,8,4,5,5,2,4.5,4,4,3,3,48,1
9/20/21 21:28,1,2,6,2,1,3,2,3.5,4,5,4,4,20,1
9/20/21 21:32,1,2,9,0,5,5,1,5,3,5,3,3,48,0
9/20/21 21:32,1,1,4,1,4,4,4,3,4,3,3,3,25,0
9/20/21 21:33,1,2,6,2,5,4,3,3.5,4,4,3,3,22,0
9/20/21 21:33,1,1,3,-3,5,4,5,2.5,5,3,4,1,33,1
9/20/21 21:35,1,2,8,2,4,5,3,4,4,5,5,4,53,0
9/20/21 21:36,1,1,6,-1,5,3,3,3,4,3,2,2,49,1
9/20/21 21:36,1,2,6,3,4,4,2,4,3,4,3,3,54,1
9/20/21 21:37,1,2,6,3,4,4,1,4.5,3,3,3,1,60,0
9/20/21 21:37,1,2,9,2,5,5,4,3.5,4,4,2,4,28,1
9/20/21 21:37,1,2,7,2,5,4,3,3.5,5,4,4,4,24,0
9/20/21 21:42,1,2,6,4,5,5,1,5,4,4,3,3,53,1
9/20/21 21:42,1,1,7,3,4,2,5,1.5,1,4,3,1,27,0
9/20/21 21:45,1,2,7,2,5,5,5,3,5,4,4,4,28,1
9/20/21 21:46,1,2,7,0,4,3,2,3.5,3,4,1,1,22,0
9/20/21 21:47,1,2,6,0,4,3,3,3,3,3,3,3,35,0
9/20/21 21:50,1,2,7,3,4,4,2,4,3,4,3,2,51,1
9/20/21 21:50,1,2,5,4,5,5,2,4.5,4,5,3,4,37,1
9/20/21 21:50,1,1,6,0,2,4,3,3.5,5,4,3,2,40,0
9/20/21 21:51,1,2,9,2,5,4,5,2.5,5,5,4,3,22,0
9/20/21 21:51,1,2,9,0,4,4,2,4,4,4,2,3,37,0
9/20/21 21:53,1,1,2,-1,3,3,3,3,4,1,2,2,49,1
9/20/21 21:58,1,2,7,3,5,4,2,4,5,5,4,4,49,0
9/20/21 21:58,1,1,5,0,3,3,3,3,3,3,1,3,38,1
9/20/21 22:02,1,2,7,2,5,5,1,5,5,4,5,4,56,1
9/20/21 22:03,1,2,7,3,5,5,2,4.5,5,5,5,4,45,0
9/20/21 22:03,1,2,8,4,4,4,2,4,4,4,3,3,40,0
9/20/21 22:05,1,2,6,2,5,4,1,4.5,4,4,4,3,49,0
9/20/21 22:06,1,1,1,-4,1,2,5,1.5,1,2,3,1,31,0
9/20/21 22:09,1,2,8,0,5,3,3,3,2,4,4,1,30,0
9/20/21 22:11,1,2,7,1,5,4,3,3.5,3,3,3,3,29,0
9/20/21 22:11,1,1,9,-4,5,1,5,1,1,1,1,1,40,1
9/20/21 22:11,1,2,9,4,5,5,1,5,5,5,3,1,32,0
9/20/21 22:13,1,2,9,4,5,5,3,4,5,5,4,3,24,1
9/20/21 22:18,1,1,1,4,5,1,1,3,3,2,2,1,35,1
9/20/21 22:19,1,2,7,4,5,4,4,3,4,5,3,2,21,1
9/20/21 22:20,1,2,5,2,2,3,4,2.5,3,3,3,2,23,1
9/20/21 22:20,1,1,5,0,1,1,1,3,1,1,1,1,54,1
9/20/21 22:26,1,2,8,2,4,4,3,3.5,4,4,1,3,35,0
9/20/21 22:27,1,1,6,-3,5,3,4,2.5,4,3,3,3,36,0
9/20/21 22:29,1,2,5,2,5,5,1,5,4,4,4,4,27,1
9/20/21 22:30,1,1,7,-4,5,5,3,4,4,5,3,3,31,0
9/20/21 22:35,1,2,6,2,5,3,3,3,4,4,3,4,25,1
9/20/21 22:39,1,2,9,4,5,5,1,5,5,5,3,3,33,0
9/20/21 22:40,1,1,8,-4,5,1,5,1,5,4,1,3,27,0
9/20/21 22:41,1,2,8,0,5,3,3,3,5,5,4,4,30,0
9/20/21 22:41,1,2,7,1,1,3,3,3,2,2,2,2,23,1
9/20/21 22:45,1,2,9,4,5,5,1,5,5,5,4,2,33,1
9/20/21 22:50,1,1,3,-4,5,2,5,1.5,3,2,2,3,43,1
9/20/21 22:53,1,2,7,2,5,5,3,4,5,5,4,4,40,0
9/20/21 22:54,1,2,6,1,4,3,3,3,3,4,2,3,30,1
9/20/21 22:57,1,2,9,0,5,4,2,4,3,5,3,3,25,1
9/20/21 22:58,1,2,6,0,5,5,1,5,5,5,5,3,30,0
9/20/21 23:07,1,1,1,0,4,1,5,1,2,1,1,1,29,0
9/20/21 23:11,1,2,9,4,5,4,1,4.5,5,5,1,2,46,0
9/20/21 23:14,1,1,1,-1,5,3,3,3,2,3,4,2,39,1
9/20/21 23:15,1,1,4,-3,4,2,4,2,4,4,3,2,47,0
9/20/21 23:18,1,1,5,2,4,3,3,3,4,2,2,2,29,1
9/20/21 23:24,1,1,3,3,5,3,4,2.5,4,3,2,2,23,0
9/20/21 23:42,1,2,9,3,5,4,1,4.5,4,5,3,2,37,1
9/20/21 23:44,1,1,2,-2,5,3,4,2.5,4,3,3,2,23,0
9/20/21 23:47,1,2,9,1,5,4,4,3,5,5,2,2,21,0
9/20/21 23:51,1,2,7,1,3,4,2,4,4,4,2,3,32,0
9/20/21 23:52,1,1,1,4,5,1,5,1,2,4,4,3,69,1
9/20/21 20:26,2,2,3,3,3,4,2,4,2,4,3,2,33,1
9/20/21 20:27,2,2,4,0,4,4,1,4.5,1,4,2,4,34,1
9/20/21 20:27,2,2,3,3,2,4,2,4,2,4,2,4,34,1
9/20/21 20:27,2,2,5,4,4,5,2,4.5,5,4,4,4,57,0
9/20/21 20:28,2,1,1,-3,5,2,4,2,5,4,4,1,33,1
9/20/21 20:28,2,1,9,-2,5,1,4,1.5,4,3,2,3,29,1
9/20/21 20:28,2,2,8,4,4,4,3,3.5,4,4,4,4,34,0
9/20/21 20:28,2,1,1,4,5,1,5,1,2,3,1,2,43,0
9/20/21 20:28,2,2,9,0,4,5,2,4.5,4,4,4,4,38,1
9/20/21 20:28,2,2,6,4,4,5,2,4.5,4,4,4,3,33,1
9/20/21 20:30,2,2,1,2,3,5,3,4,5,5,4,4,40,1
9/20/21 20:30,2,2,9,1,5,3,2,3.5,4,4,3,3,35,1
9/20/21 20:31,2,2,1,4,5,5,1,5,5,4,1,1,32,0
9/20/21 20:31,2,1,1,-1,5,3,3,3,5,3,3,4,53,0
9/20/21 20:31,2,2,9,2,4,3,3,3,4,5,1,1,33,0
9/20/21 20:31,2,2,6,2,4,4,3,3.5,4,4,2,2,25,1
9/20/21 20:31,2,1,1,-4,4,4,4,3,3,2,1,2,38,1
9/20/21 20:31,2,1,4,1,3,4,4,3,1,4,4,4,24,0
9/20/21 20:31,2,1,7,2,5,3,3,3,5,4,4,3,55,0
9/20/21 20:32,2,1,2,-3,5,2,4,2,3,2,4,4,49,0
9/20/21 20:32,2,1,1,-4,5,5,5,3,3,3,3,3,24,0
9/20/21 20:32,2,1,1,4,5,2,4,2,3,3,4,4,45,0
9/20/21 20:33,2,2,4,4,5,4,2,4,3,5,3,2,47,0
9/20/21 20:33,2,2,8,4,5,5,1,5,5,5,4,3,55,0
9/20/21 20:34,2,1,1,-4,5,5,4,3.5,5,3,1,4,53,0
9/20/21 20:34,2,2,8,3,5,3,3,3,4,5,3,3,39,1
9/20/21 20:35,2,2,1,0,5,4,1,4.5,1,2,1,5,47,1
9/20/21 20:35,2,1,1,-4,4,4,4,3,3,2,3,2,38,1
9/20/21 20:36,2,1,1,-4,5,3,5,2,3,2,1,2,64,1
9/20/21 20:36,2,1,1,-4,5,2,5,1.5,2,1,3,3,29,0
9/20/21 20:37,2,2,9,4,5,5,2,4.5,2,5,4,2,66,0
9/20/21 20:37,2,2,9,4,5,5,1,5,2,4,3,3,46,0
9/20/21 20:37,2,1,1,3,2,1,5,1,2,2,1,3,61,0
9/20/21 20:37,2,2,3,3,5,4,2,4,2,5,1,2,22,0
9/20/21 20:38,2,2,3,0,5,3,4,2.5,4,5,3,3,44,1
9/20/21 20:38,2,2,9,4,5,5,5,3,5,5,5,5,29,1
9/20/21 20:39,2,1,2,4,5,3,4,2.5,4,4,3,2,36,1
9/20/21 20:39,2,2,9,4,5,5,1,5,5,5,4,4,36,0
9/20/21 20:40,2,1,3,2,4,2,4,2,4,4,4,4,34,1
9/20/21 20:41,2,1,3,-4,3,3,2,3.5,4,3,3,3,58,0
9/20/21 20:41,2,2,7,4,5,4,3,3.5,5,4,4,4,49,0
9/20/21 20:41,2,2,9,4,5,5,2,4.5,5,4,5,5,39,0
9/20/21 20:42,2,1,1,-4,5,2,5,1.5,3,2,2,3,59,1
9/20/21 20:43,2,1,1,-4,5,2,4,2,5,4,2,2,38,0
9/20/21 20:44,2,1,3,-3,4,4,5,2.5,4,3,3,3,52,1
9/20/21 20:44,2,2,8,2,5,5,3,4,4,4,3,2,44,0
9/20/21 20:45,2,1,1,4,5,3,3,3,5,3,4,3,30,0
9/20/21 20:46,2,2,1,4,5,4,2,4,1,3,1,4,60,0
9/20/21 20:46,2,2,3,-4,4,1,5,1,3,1,2,3,53,1
9/20/21 20:47,2,2,7,3,4,3,3,3,4,4,4,2,37,0
9/20/21 20:47,2,1,2,-4,5,5,5,3,5,3,1,1,39,0
9/20/21 20:48,2,2,1,2,3,3,3,3,4,3,2,4,37,1
9/20/21 20:48,2,2,9,2,5,5,3,4,5,5,2,3,27,0
9/20/21 20:48,2,1,1,4,5,3,5,2,4,2,3,4,53,0
9/20/21 20:49,2,1,1,-4,5,3,3,3,3,3,3,3,30,1
9/20/21 20:49,2,2,8,4,4,4,2,4,3,4,3,2,49,1
9/20/21 20:49,2,1,9,-4,5,1,5,1,3,2,2,3,41,1
9/20/21 20:50,2,1,2,-2,4,2,4,2,5,3,4,2,28,0
9/20/21 20:50,2,1,2,-3,4,2,4,2,5,4,3,3,46,0
9/20/21 20:50,2,1,1,-3,5,2,4,2,5,4,1,5,51,1
9/20/21 20:51,2,2,7,4,5,4,4,3,5,5,3,3,36,0
9/20/21 20:51,2,1,2,-1,4,3,3,3,5,4,4,4,43,1
9/20/21 20:51,2,1,1,-3,5,2,4,2,5,4,4,4,43,1
9/20/21 20:53,2,1,7,-1,5,4,3,3.5,5,4,3,4,42,0
9/20/21 20:54,2,2,2,4,5,5,2,4.5,4,4,3,3,33,0
9/20/21 20:54,2,1,1,-2,4,2,4,2,5,2,3,4,39,0
9/20/21 20:55,2,2,5,2,4,4,2,4,4,4,3,3,26,1
9/20/21 20:55,2,1,3,2,2,2,2,3,2,3,3,3,24,1
9/20/21 20:58,2,1,1,4,5,3,5,2,3,4,3,1,41,0
9/20/21 21:00,2,2,6,4,5,4,2,4,4,4,3,4,72,1
9/20/21 21:00,2,2,4,2,5,5,3,4,4,4,2,1,22,1
9/20/21 21:02,2,1,1,-4,3,2,4,2,3,3,4,2,51,0
9/20/21 21:04,2,2,1,0,4,3,3,3,4,4,3,3,26,0
9/20/21 21:04,2,1,1,0,5,1,5,1,5,3,3,3,64,1
9/20/21 21:05,2,1,3,-2,5,3,2,3.5,3,2,2,3,22,1
9/20/21 21:07,2,2,7,3,4,4,3,3.5,3,3,3,2,46,1
9/20/21 21:10,2,1,8,3,4,4,4,3,4,4,4,4,53,0
9/20/21 21:11,2,1,7,2,5,4,4,3,5,5,3,4,19,1
9/20/21 21:12,2,2,9,0,5,5,5,3,5,5,5,1,30,1
9/20/21 21:14,2,1,1,0,4,2,5,1.5,4,3,3,3,37,0
9/20/21 21:17,2,1,1,4,5,3,3,3,3,5,5,5,31,0
9/20/21 21:21,2,2,7,0,5,3,2,3.5,5,5,3,3,31,1
9/20/21 21:27,2,1,1,3,5,3,4,2.5,5,1,3,1,44,1
9/20/21 21:27,2,1,3,-3,5,3,5,2,4,2,4,3,29,0
9/20/21 21:28,2,1,5,-4,5,3,3,3,5,3,3,3,23,1
9/20/21 21:28,2,1,9,-4,5,2,5,1.5,5,1,2,2,32,0
9/20/21 21:32,2,1,2,4,5,5,5,3,4,4,1,1,52,0
9/20/21 21:32,2,1,4,-3,4,2,4,2,4,3,3,3,38,1
9/20/21 21:36,2,2,3,3,4,4,2,4,3,4,2,3,53,1
9/20/21 21:36,2,2,4,3,4,2,4,2,5,4,3,3,35,1
9/20/21 21:37,2,2,9,0,5,5,1,5,5,5,5,5,28,0
9/20/21 21:37,2,1,1,-4,5,1,5,1,4,1,3,1,37,0
9/20/21 21:38,2,1,2,2,5,3,3,3,4,2,1,1,67,0
9/20/21 21:39,2,2,7,1,5,4,4,3,5,4,3,3,66,1
9/20/21 21:39,2,1,5,1,4,5,4,3.5,5,4,4,4,37,1
9/20/21 21:39,2,2,1,2,4,4,3,3.5,2,2,3,3,31,0
9/20/21 21:40,2,1,1,4,5,4,5,2.5,5,3,1,2,63,0
9/20/21 21:41,2,2,1,3,4,4,2,4,3,4,3,4,40,1
9/20/21 21:42,2,1,1,-4,3,2,4,2,1,4,1,2,38,1
9/20/21 21:44,2,1,2,3,3,3,4,2.5,4,3,1,3,64,0
9/20/21 21:45,2,2,1,4,3,4,2,4,1,4,3,2,60,1
9/20/21 21:48,2,1,1,3,4,3,4,2.5,4,1,2,1,54,1
9/20/21 21:50,2,2,9,3,5,5,5,3,5,4,4,5,30,0
9/20/21 21:52,2,1,2,2,5,4,3,3.5,3,5,3,3,36,0
9/20/21 21:52,2,2,9,4,5,5,5,3,5,5,1,5,31,1
9/20/21 21:52,2,2,1,2,5,4,4,3,5,3,4,2,26,2
9/20/21 21:53,2,2,6,3,4,4,3,3.5,4,4,4,3,28,1
9/20/21 21:53,2,2,9,2,5,5,5,3,5,4,4,4,29,1
9/20/21 21:55,2,2,9,4,5,4,3,3.5,2,5,5,3,34,0
9/20/21 21:58,2,2,8,2,5,4,5,2.5,4,3,3,3,43,1
9/20/21 21:58,2,2,6,1,3,3,3,3,3,3,3,4,34,0
9/20/21 22:02,2,2,7,2,4,3,2,3.5,3,4,3,4,37,1
9/20/21 22:03,2,1,1,-2,5,2,4,2,3,3,2,3,39,0
9/20/21 22:03,2,1,5,0,5,5,1,5,3,3,3,3,32,0
9/20/21 22:06,2,2,8,4,5,5,3,4,5,5,4,3,40,0
9/20/21 22:08,2,2,7,2,4,4,2,4,2,4,3,4,41,0
9/20/21 22:11,2,1,4,-3,5,4,4,3,3,4,4,2,40,0
9/20/21 22:12,2,2,2,4,5,3,4,2.5,5,5,2,2,31,0
9/20/21 22:14,2,2,2,3,4,3,3,3,4,1,1,2,30,2
9/20/21 22:16,2,1,7,3,4,3,5,2,4,4,3,3,20,1
9/20/21 22:17,2,1,1,-4,5,3,5,2,5,3,4,4,35,0
9/20/21 22:18,2,2,1,3,4,5,2,4.5,4,1,2,3,45,1
9/20/21 22:21,2,1,1,-4,5,2,5,1.5,5,4,3,5,57,0
9/20/21 22:23,2,1,1,-1,5,2,4,2,2,2,2,2,20,1
9/20/21 22:27,2,1,1,-4,5,2,2,3,4,1,1,1,29,0
9/20/21 22:30,2,2,5,4,3,4,3,3.5,4,5,3,3,39,0
9/20/21 22:31,2,2,9,4,4,4,2,4,3,4,2,2,28,1
9/20/21 22:33,2,2,7,4,4,5,2,4.5,5,5,3,4,45,1
9/20/21 22:35,2,1,1,1,3,3,4,2.5,4,3,3,3,67,0
9/20/21 22:38,2,2,6,4,5,4,2,4,5,4,3,3,42,0
9/20/21 22:39,2,2,9,4,4,5,3,4,5,5,3,3,45,1
9/20/21 22:39,2,1,1,0,5,3,4,2.5,5,4,3,3,56,0
9/20/21 22:43,2,2,9,4,5,5,4,3.5,4,4,3,3,42,0
9/20/21 22:44,2,1,1,-4,5,3,5,2,5,1,3,2,56,0
9/20/21 22:51,2,1,8,0,5,1,1,3,3,3,4,4,23,0
9/20/21 22:54,2,1,7,3,5,3,3,3,2,5,4,4,52,0
9/20/21 22:54,2,2,7,3,4,4,1,4.5,4,4,3,3,47,0
9/20/21 22:55,2,1,1,2,5,2,5,1.5,5,4,3,3,20,0
9/20/21 23:04,2,1,4,-2,3,4,3,3.5,3,3,3,2,36,2
9/20/21 23:07,2,2,9,4,5,4,5,2.5,5,5,5,5,64,1
9/20/21 23:13,2,1,2,4,1,2,4,2,4,3,3,2,43,0
9/20/21 23:15,2,2,9,0,5,3,3,3,4,4,3,3,37,0
9/20/21 23:19,2,2,9,4,5,5,3,4,5,5,5,2,33,0
9/20/21 23:35,2,1,1,0,4,1,5,1,4,2,3,3,44,1
9/20/21 23:37,2,2,3,3,5,4,3,3.5,4,4,3,3,49,1
9/20/21 23:45,2,1,1,-4,5,1,5,1,5,1,3,3,44,0
9/20/21 23:47,2,2,3,2,4,4,2,4,4,4,3,3,50,1
9/20/21 23:51,2,2,4,4,5,5,2,4.5,5,5,5,5,28,1
9/20/21 23:52,2,2,9,4,2,3,1,4,3,5,3,3,49,0
9/20/21 23:58,2,2,9,1,5,3,3,3,3,4,3,3,28,0