RecordedDate,condition,choiceDV,surprise,focus,rep_surp,age,gender,gender_3_TEXT
9/22/21 18:10,1,1,4,-3,7,24,1,
9/22/21 18:11,1,1,1,-3,7,48,1,
9/22/21 18:11,1,2,7,0,7,42,1,
9/22/21 18:11,1,2,7,1,6,23,1,
9/22/21 18:11,1,2,6,1,7,26,1,
9/22/21 18:12,1,1,3,2,6,57,0,
9/22/21 18:12,1,1,5,-1,5,38,1,
9/22/21 18:12,1,1,6,-1,7,36,1,
9/22/21 18:13,1,2,3,4,7,30,1,
9/22/21 18:13,1,2,8,2,6,31,1,
9/22/21 18:13,1,1,3,-2,7,40,0,
9/22/21 18:14,1,2,9,0,7,38,1,
9/22/21 18:14,1,2,7,4,7,44,1,
9/22/21 18:14,1,2,7,0,7,43,0,
9/22/21 18:15,1,2,9,3,7,52,1,
9/22/21 18:15,1,1,5,0,7,32,0,
9/22/21 18:15,1,2,9,4,7,34,1,
9/22/21 18:15,1,1,8,-3,7,32,1,
9/22/21 18:16,1,1,3,4,7,29,0,
9/22/21 18:17,1,2,5,3,7,30,1,
9/22/21 18:17,1,2,7,1,7,53,1,
9/22/21 18:17,1,1,1,-1,7,30,0,
9/22/21 18:18,1,2,9,0,7,29,1,
9/22/21 18:18,1,2,6,2,6,25,1,
9/22/21 18:19,1,2,5,1,7,24,1,
9/22/21 18:19,1,1,9,-4,7,40,0,
9/22/21 18:21,1,2,8,2,7,53,0,
9/22/21 18:21,1,1,9,-4,7,40,1,
9/22/21 18:21,1,2,7,3,7,47,0,
9/22/21 18:21,1,1,2,-4,7,40,0,
9/22/21 18:22,1,2,9,4,7,32,1,
9/22/21 18:23,1,2,7,-3,7,49,0,
9/22/21 18:23,1,1,1,4,7,20,1,
9/22/21 18:24,1,2,9,4,7,44,0,
9/22/21 18:24,1,2,9,0,4,30,0,
9/22/21 18:24,1,2,8,2,7,37,1,
9/22/21 18:24,1,1,1,-4,7,48,0,
9/22/21 18:25,1,2,5,1,6,24,0,
9/22/21 18:25,1,2,9,0,7,26,0,
9/22/21 18:25,1,1,3,-4,4,64,0,
9/22/21 18:26,1,2,9,0,7,25,1,
9/22/21 18:26,1,2,8,1,7,24,1,
9/22/21 18:27,1,1,8,4,7,53,1,
9/22/21 18:28,1,2,9,4,7,39,1,
9/22/21 18:28,1,1,1,-4,7,33,0,
9/22/21 18:29,1,2,5,1,6,35,0,
9/22/21 18:31,1,2,5,3,4,32,0,
9/22/21 18:31,1,2,7,2,7,46,1,
9/22/21 18:32,1,1,4,0,3,40,1,
9/22/21 18:34,1,2,9,0,7,31,0,
9/22/21 18:34,1,2,8,3,7,44,0,
9/22/21 18:36,1,1,1,0,1,30,1,
9/22/21 18:36,1,1,5,-2,7,36,0,
9/22/21 18:36,1,2,6,0,7,24,1,
9/22/21 18:38,1,2,6,3,7,26,0,
9/22/21 18:38,1,2,9,0,7,42,0,
9/22/21 18:39,1,2,4,2,7,34,1,
9/22/21 18:40,1,2,3,4,7,42,1,
9/22/21 18:40,1,2,7,4,7,29,0,
9/22/21 18:41,1,2,8,2,7,35,1,
9/22/21 18:42,1,2,3,2,7,44,1,
9/22/21 18:42,1,1,1,4,7,28,1,
9/22/21 18:42,1,1,3,3,4,47,1,
9/22/21 18:44,1,1,7,2,3,37,0,
9/22/21 18:44,1,2,6,1,7,32,1,
9/22/21 18:44,1,2,3,-2,6,53,0,
9/22/21 18:45,1,2,9,3,7,61,1,
9/22/21 18:46,1,2,9,3,7,48,1,
9/22/21 18:47,1,1,3,4,7,31,1,
9/22/21 18:47,1,1,1,4,7,58,0,
9/22/21 18:48,1,2,5,1,7,28,1,
9/22/21 18:51,1,2,9,4,7,38,0,
9/22/21 18:51,1,1,2,2,7,49,1,
9/22/21 18:54,1,2,7,1,7,54,1,
9/22/21 18:54,1,1,1,4,7,33,0,
9/22/21 18:57,1,2,7,4,7,21,1,
9/22/21 18:58,1,2,6,1,7,36,1,
9/22/21 18:59,1,2,9,4,7,37,0,
9/22/21 18:59,1,1,1,-4,7,29,1,
9/22/21 19:02,1,2,7,4,7,33,0,
9/22/21 19:04,1,2,7,1,6,43,1,
9/22/21 19:05,1,1,1,0,7,24,0,
9/22/21 19:07,1,2,1,4,7,33,1,
9/22/21 19:08,1,2,3,3,3,38,1,
9/22/21 19:10,1,1,7,-4,7,37,0,
9/22/21 19:11,1,2,8,0,7,46,1,
9/22/21 19:15,1,2,7,1,5,26,1,
9/22/21 19:15,1,1,4,4,7,24,0,
9/22/21 19:16,1,1,1,4,7,25,0,
9/22/21 19:22,1,1,1,1,7,47,0,
9/22/21 19:26,1,1,5,1,4,25,0,
9/22/21 19:27,1,1,5,-4,7,27,0,
9/22/21 19:27,1,1,2,0,7,32,1,
9/22/21 19:27,1,2,9,4,7,47,0,
9/22/21 19:29,1,2,9,4,7,29,0,
9/22/21 19:30,1,1,1,4,7,33,0,
9/22/21 19:34,1,1,9,-3,7,49,0,
9/22/21 19:34,1,1,1,-4,7,54,0,
9/22/21 19:38,1,2,6,4,7,63,0,
9/22/21 19:41,1,1,1,4,4,26,0,
9/22/21 19:41,1,1,1,-4,7,42,0,
9/22/21 19:45,1,2,3,3,7,45,1,
9/22/21 19:46,1,1,5,0,5,21,1,
9/22/21 19:49,1,1,6,-3,7,38,1,
9/22/21 19:51,1,2,3,2,7,39,1,
9/22/21 19:53,1,2,6,1,7,38,1,
9/22/21 19:54,1,2,9,3,6,31,1,
9/22/21 19:56,1,2,9,2,7,35,0,
9/22/21 19:56,1,1,3,2,7,36,1,
9/22/21 19:58,1,2,9,4,7,69,0,
9/22/21 20:05,1,1,6,2,5,26,1,
9/22/21 20:08,1,2,8,4,7,32,0,
9/22/21 20:11,1,1,2,-1,7,39,0,
9/22/21 20:11,1,1,1,-4,7,33,1,
9/22/21 20:13,1,2,7,2,7,23,1,
9/22/21 20:14,1,1,3,0,7,23,1,
9/22/21 20:17,1,1,7,0,7,31,0,
9/22/21 20:18,1,2,7,4,7,33,0,
9/22/21 20:22,1,2,9,4,6,41,1,
9/22/21 20:23,1,2,9,4,7,43,1,
9/22/21 20:44,1,2,9,1,7,28,0,
9/22/21 22:14,1,,,,,,,
9/22/21 22:15,1,,,,,,,
9/22/21 22:41,1,,,,,,,
9/22/21 18:10,2,2,6,1,6,25,1,
9/22/21 18:11,2,1,6,1,3,42,1,
9/22/21 18:11,2,2,7,2,7,20,0,
9/22/21 18:11,2,1,2,3,7,68,0,
9/22/21 18:11,2,1,3,3,7,64,0,
9/22/21 18:12,2,2,1,4,7,44,1,
9/22/21 18:12,2,2,8,1,7,50,0,
9/22/21 18:12,2,1,3,3,6,26,0,
9/22/21 18:13,2,2,6,3,7,39,0,
9/22/21 18:13,2,1,2,4,7,33,1,
9/22/21 18:13,2,2,9,4,7,65,1,
9/22/21 18:14,2,2,8,3,6,38,1,
9/22/21 18:14,2,1,3,-2,7,47,1,
9/22/21 18:14,2,1,1,4,7,25,0,
9/22/21 18:15,2,1,1,-4,7,63,1,
9/22/21 18:15,2,1,6,-2,6,43,0,
9/22/21 18:16,2,1,1,1,7,68,1,
9/22/21 18:16,2,2,9,4,7,36,0,
9/22/21 18:17,2,1,8,4,4,23,4,
9/22/21 18:17,2,2,9,0,4,34,0,
9/22/21 18:17,2,1,1,4,7,64,0,
9/22/21 18:17,2,2,5,0,7,56,0,
9/22/21 18:18,2,1,2,-3,7,58,1,
9/22/21 18:18,2,2,7,0,5,40,0,
9/22/21 18:19,2,1,7,-3,6,29,0,
9/22/21 18:19,2,1,1,0,7,61,1,
9/22/21 18:19,2,2,7,3,7,52,0,
9/22/21 18:21,2,1,6,2,6,44,0,
9/22/21 18:21,2,1,6,-1,7,24,0,
9/22/21 18:22,2,2,2,0,4,39,0,
9/22/21 18:22,2,1,9,0,7,45,0,
9/22/21 18:23,2,2,7,3,7,35,0,
9/22/21 18:23,2,2,9,4,7,56,1,
9/22/21 18:24,2,2,7,0,6,74,0,
9/22/21 18:24,2,1,1,0,7,85,0,
9/22/21 18:24,2,1,6,-4,6,30,1,
9/22/21 18:25,2,1,1,2,6,70,1,
9/22/21 18:26,2,1,1,-3,7,50,1,
9/22/21 18:26,2,2,9,4,7,47,1,
9/22/21 18:28,2,2,6,1,7,40,0,
9/22/21 18:28,2,1,1,-2,7,37,1,
9/22/21 18:31,2,1,9,4,7,54,0,
9/22/21 18:31,2,2,7,3,7,30,0,
9/22/21 18:33,2,2,8,3,5,68,1,
9/22/21 18:33,2,1,1,-4,7,39,0,
9/22/21 18:33,2,1,1,4,7,43,0,
9/22/21 18:34,2,2,9,4,7,39,0,
9/22/21 18:35,2,1,1,1,7,30,0,
9/22/21 18:37,2,1,1,4,7,43,0,
9/22/21 18:38,2,1,1,0,7,52,1,
9/22/21 18:38,2,1,1,-4,6,32,0,
9/22/21 18:38,2,2,7,2,7,48,0,
9/22/21 18:38,2,1,1,-1,7,60,1,
9/22/21 18:39,2,2,7,1,7,62,0,
9/22/21 18:39,2,2,7,3,6,43,2,
9/22/21 18:41,2,2,9,4,7,23,0,
9/22/21 18:41,2,1,1,-3,7,58,0,
9/22/21 18:41,2,2,7,4,7,72,1,
9/22/21 18:42,2,1,2,-3,7,55,0,
9/22/21 18:42,2,2,7,2,6,53,1,
9/22/21 18:42,2,1,2,-2,7,62,0,
9/22/21 18:43,2,1,1,4,7,35,0,
9/22/21 18:43,2,1,1,-4,7,25,1,
9/22/21 18:43,2,2,9,3,7,63,1,
9/22/21 18:44,2,2,9,4,7,39,1,
9/22/21 18:45,2,2,7,4,7,50,0,
9/22/21 18:45,2,1,7,2,2,32,2,
9/22/21 18:47,2,1,1,0,7,40,1,
9/22/21 18:48,2,1,1,-4,7,54,1,
9/22/21 18:50,2,2,4,2,6,33,1,
9/22/21 18:50,2,1,1,-2,7,46,0,
9/22/21 18:50,2,1,3,-4,5,22,1,
9/22/21 18:52,2,1,9,-4,7,60,0,
9/22/21 18:54,2,2,7,3,7,29,1,
9/22/21 18:55,2,2,7,-3,6,34,0,
9/22/21 18:56,2,1,5,0,7,36,0,
9/22/21 18:57,2,1,8,-4,7,37,0,
9/22/21 18:59,2,1,2,-2,7,45,0,
9/22/21 19:00,2,1,1,4,7,57,0,
9/22/21 19:03,2,2,1,4,7,65,0,
9/22/21 19:05,2,1,7,-4,7,19,0,
9/22/21 19:06,2,1,8,2,7,34,0,
9/22/21 19:11,2,1,1,4,7,64,0,
9/22/21 19:12,2,2,9,0,7,28,0,
9/22/21 19:13,2,1,6,-4,7,38,0,
9/22/21 19:15,2,1,1,0,7,45,1,
9/22/21 19:20,2,2,9,4,7,44,1,
9/22/21 19:21,2,2,8,2,7,25,1,
9/22/21 19:23,2,2,6,3,7,33,0,
9/22/21 19:23,2,1,3,3,7,63,0,
9/22/21 19:24,2,2,9,2,7,33,1,
9/22/21 19:25,2,2,5,2,7,40,1,
9/22/21 19:27,2,1,2,0,7,58,0,
9/22/21 19:28,2,1,2,3,7,55,0,
9/22/21 19:30,2,1,1,-4,7,39,0,
9/22/21 19:30,2,1,1,3,7,43,0,
9/22/21 19:33,2,1,1,3,6,41,0,
9/22/21 19:39,2,1,1,0,7,46,0,
9/22/21 19:40,2,1,1,4,7,34,0,
9/22/21 19:44,2,1,6,-4,7,27,1,
9/22/21 19:45,2,2,6,2,6,45,1,
9/22/21 19:46,2,1,1,-4,7,38,0,
9/22/21 19:48,2,2,9,4,7,34,0,
9/22/21 19:53,2,1,1,-3,7,30,1,
9/22/21 19:54,2,1,1,4,7,55,1,
9/22/21 19:55,2,1,1,4,7,45,0,
9/22/21 19:58,2,1,3,-1,6,44,0,
9/22/21 20:00,2,1,2,0,7,54,0,
9/22/21 20:04,2,2,1,4,7,31,0,
9/22/21 20:05,2,1,9,3,7,46,0,
9/22/21 20:12,2,2,9,4,7,30,0,
9/22/21 20:13,2,1,3,-4,7,49,0,
9/22/21 20:15,2,2,6,1,5,58,0,
9/22/21 20:16,2,2,9,4,7,26,0,
9/22/21 20:22,2,1,1,0,7,36,0,
9/22/21 20:22,2,2,6,1,7,53,1,
9/22/21 20:25,2,2,2,3,7,38,0,
9/22/21 20:28,2,1,1,3,7,52,0,
9/22/21 20:28,2,2,7,-3,6,32,0,
9/22/21 20:35,2,2,7,-2,7,42,0,
9/22/21 22:12,2,1,,,,,,
9/22/21 22:14,2,1,3,-3,,,,
9/22/21 22:15,2,1,1,4,,,,
9/22/21 22:16,2,,,,,,,
9/22/21 22:19,2,2,9,0,,,,
9/22/21 22:39,2,,,,,,,
9/22/21 23:09,2,1,1,-4,,,,
9/22/21 23:29,2,,,,,,,
10/6/21 21:20,2,,,,,,,
9/22/21 18:10,3,1,9,4,7,43,0,
9/22/21 18:10,3,1,9,4,7,34,0,
9/22/21 18:10,3,1,9,2,5,28,1,
9/22/21 18:11,3,1,5,2,7,43,0,
9/22/21 18:11,3,1,1,-4,7,35,1,
9/22/21 18:11,3,1,2,0,7,34,4,
9/22/21 18:11,3,1,1,4,7,69,0,
9/22/21 18:11,3,1,2,4,7,20,0,
9/22/21 18:12,3,2,9,0,7,30,1,
9/22/21 18:12,3,1,1,-4,7,36,0,
9/22/21 18:12,3,1,2,3,6,34,0,
9/22/21 18:13,3,1,1,4,1,49,0,
9/22/21 18:13,3,1,1,1,6,40,1,
9/22/21 18:13,3,1,2,-1,7,48,0,
9/22/21 18:13,3,1,9,4,7,67,0,
9/22/21 18:15,3,1,1,4,7,45,0,
9/22/21 18:15,3,1,1,4,7,41,0,
9/22/21 18:15,3,1,2,-3,6,37,0,
9/22/21 18:15,3,1,1,4,7,55,0,
9/22/21 18:16,3,1,1,4,7,43,0,
9/22/21 18:17,3,1,1,4,1,39,1,
9/22/21 18:17,3,1,3,4,6,36,1,
9/22/21 18:17,3,1,2,2,2,50,0,
9/22/21 18:18,3,1,1,2,7,63,0,
9/22/21 18:18,3,1,1,-3,7,31,0,
9/22/21 18:18,3,1,1,-2,7,39,0,
9/22/21 18:18,3,1,1,4,7,59,0,
9/22/21 18:18,3,1,1,4,7,37,0,
9/22/21 18:19,3,1,1,-4,7,59,0,
9/22/21 18:20,3,1,1,0,7,46,0,
9/22/21 18:20,3,1,2,3,7,30,0,
9/22/21 18:20,3,1,1,-2,7,61,0,
9/22/21 18:21,3,1,1,4,7,43,0,
9/22/21 18:21,3,1,1,-4,7,26,0,
9/22/21 18:21,3,2,9,4,7,55,1,
9/22/21 18:22,3,1,2,1,7,44,0,
9/22/21 18:23,3,1,1,-4,7,49,1,
9/22/21 18:23,3,2,7,4,7,60,1,
9/22/21 18:24,3,1,9,3,7,39,0,
9/22/21 18:24,3,1,4,-3,7,57,0,
9/22/21 18:24,3,1,9,-4,7,46,0,
9/22/21 18:25,3,2,3,4,6,50,1,
9/22/21 18:27,3,1,2,3,7,39,0,
9/22/21 18:27,3,1,7,1,3,31,1,
9/22/21 18:27,3,2,6,2,1,20,0,
9/22/21 18:28,3,1,1,4,7,53,0,
9/22/21 18:29,3,1,3,-3,7,27,0,
9/22/21 18:31,3,1,2,3,6,48,0,
9/22/21 18:31,3,1,5,2,7,40,0,
9/22/21 18:31,3,1,1,3,7,53,0,
9/22/21 18:32,3,1,1,-2,7,26,1,
9/22/21 18:32,3,2,6,0,4,21,0,
9/22/21 18:34,3,1,5,4,7,50,0,
9/22/21 18:35,3,1,1,-4,7,28,1,
9/22/21 18:35,3,1,9,-4,7,27,1,
9/22/21 18:36,3,1,3,2,6,62,1,
9/22/21 18:37,3,1,3,-4,7,29,0,
9/22/21 18:38,3,1,2,-2,2,52,1,
9/22/21 18:39,3,1,8,3,6,44,1,
9/22/21 18:40,3,1,1,4,1,41,0,
9/22/21 18:40,3,1,1,-4,7,34,1,
9/22/21 18:40,3,1,7,2,6,34,1,
9/22/21 18:40,3,1,6,2,5,45,1,
9/22/21 18:40,3,1,2,-1,6,22,0,
9/22/21 18:40,3,2,8,2,7,27,0,
9/22/21 18:44,3,1,2,2,7,39,1,
9/22/21 18:45,3,1,2,-1,7,66,0,
9/22/21 18:45,3,1,1,4,7,50,0,
9/22/21 18:45,3,1,1,-4,7,39,0,
9/22/21 18:45,3,1,3,2,6,46,1,
9/22/21 18:45,3,2,8,1,6,31,0,
9/22/21 18:47,3,1,5,-4,7,29,0,
9/22/21 18:47,3,1,9,-4,7,57,0,
9/22/21 18:49,3,1,3,4,6,51,0,
9/22/21 18:50,3,1,1,2,1,49,0,
9/22/21 18:51,3,1,2,2,6,47,0,
9/22/21 18:53,3,1,1,-1,7,44,0,
9/22/21 18:53,3,1,1,-3,4,66,0,
9/22/21 18:54,3,1,3,3,7,28,1,
9/22/21 18:56,3,1,5,0,4,30,1,
9/22/21 18:57,3,1,1,4,7,58,0,
9/22/21 18:59,3,2,9,0,7,39,0,
9/22/21 19:02,3,1,8,4,6,41,1,
9/22/21 19:02,3,1,1,3,7,38,0,
9/22/21 19:05,3,1,4,1,5,37,1,
9/22/21 19:08,3,2,8,3,7,28,1,
9/22/21 19:08,3,1,1,4,7,53,0,
9/22/21 19:10,3,1,1,-4,7,41,0,
9/22/21 19:10,3,1,1,-4,1,30,0,
9/22/21 19:13,3,1,1,-1,7,27,0,
9/22/21 19:15,3,1,1,-3,7,37,0,
9/22/21 19:19,3,1,6,-4,7,50,0,
9/22/21 19:19,3,1,1,1,7,28,1,
9/22/21 19:21,3,1,4,2,7,37,0,
9/22/21 19:22,3,1,3,-3,5,42,1,
9/22/21 19:24,3,1,2,0,7,27,0,
9/22/21 19:25,3,1,1,4,7,60,0,
9/22/21 19:28,3,1,1,-4,7,48,0,
9/22/21 19:28,3,1,2,-4,7,27,0,
9/22/21 19:29,3,1,7,-1,5,26,0,
9/22/21 19:31,3,1,2,-2,7,50,1,
9/22/21 19:34,3,2,6,2,7,49,0,
9/22/21 19:36,3,1,1,1,7,46,1,
9/22/21 19:44,3,1,6,-3,7,43,0,
9/22/21 19:44,3,1,1,4,6,55,0,
9/22/21 19:45,3,1,5,0,4,22,1,
9/22/21 19:47,3,1,3,-2,7,83,1,
9/22/21 19:49,3,1,1,-3,7,56,0,
9/22/21 19:49,3,1,1,-4,7,61,0,
9/22/21 19:49,3,1,1,-4,7,38,0,
9/22/21 19:54,3,1,3,-3,7,60,0,
9/22/21 19:55,3,1,5,-2,6,32,0,
9/22/21 20:02,3,1,9,4,7,28,0,
9/22/21 20:02,3,1,8,4,4,34,1,
9/22/21 20:07,3,1,3,2,3,28,1,
9/22/21 20:11,3,1,3,-1,7,25,1,
9/22/21 20:11,3,1,5,-4,6,62,0,
9/22/21 20:15,3,2,9,1,7,18,2,
9/22/21 20:16,3,2,6,2,7,28,0,
9/22/21 20:18,3,1,7,-2,7,28,0,
9/22/21 20:18,3,1,3,-4,7,21,2,
9/22/21 20:19,3,1,6,3,3,30,1,
9/22/21 20:21,3,2,5,2,6,29,1,
9/22/21 20:25,3,1,1,-4,7,35,0,
9/22/21 20:26,3,1,1,-4,7,51,1,
9/22/21 20:32,3,1,2,4,7,40,1,
9/22/21 22:13,3,,,,,,,
9/22/21 22:23,3,2,8,2,,,,
9/22/21 22:35,3,1,1,4,,,,
9/22/21 23:29,3,,,,,,,
9/22/21 23:54,3,,,,,,,