RecordedDate,cond,choice,ManipCheck,ManipSurprise,Inddif1,Inddif2,Individ_diff,age,gender,gender_3_TEXT
10/26/21 19:29,1,2,3,5,3,5,3,26,0,
10/26/21 19:29,1,2,7,9,6,2,6,38,1,
10/26/21 19:30,1,2,9,9,4,1,5.5,31,0,
10/26/21 19:30,1,1,5,7,4,2,5,51,0,
10/26/21 19:31,1,1,8,9,2,6,2,40,0,
10/26/21 19:31,1,2,9,9,3,5,3,23,1,
10/26/21 19:32,1,1,7,9,5,2,5.5,38,0,
10/26/21 19:32,1,1,9,9,2,7,1.5,49,0,
10/26/21 19:32,1,1,8,8,4,3,4.5,57,0,
10/26/21 19:32,1,1,9,9,6,3,5.5,55,0,
10/26/21 19:32,1,2,7,9,5,3,5,46,0,
10/26/21 19:32,1,1,5,1,1,7,1,48,0,
10/26/21 19:32,1,2,8,9,6,2,6,49,0,
10/26/21 19:32,1,1,6,9,3,5,3,43,0,
10/26/21 19:33,1,2,9,9,6,1,6.5,24,0,
10/26/21 19:33,1,2,3,5,4,4,4,32,1,
10/26/21 19:34,1,2,2,8,4,5,3.5,36,1,
10/26/21 19:34,1,1,8,8,5,2,5.5,40,0,
10/26/21 19:34,1,1,8,9,3,5,3,38,1,
10/26/21 19:34,1,1,6,7,5,4,4.5,56,1,
10/26/21 19:35,1,2,7,9,4,2,5,43,0,
10/26/21 19:35,1,1,7,9,3,5,3,68,0,
10/26/21 19:35,1,1,9,9,4,4,4,34,1,
10/26/21 19:36,1,2,9,9,7,1,7,35,1,
10/26/21 19:36,1,2,5,9,7,2,6.5,37,0,
10/26/21 19:36,1,2,7,9,3,5,3,23,0,
10/26/21 19:36,1,2,9,9,7,1,7,30,0,
10/26/21 19:37,1,2,7,7,7,1,7,29,0,
10/26/21 19:37,1,1,7,9,2,6,2,37,0,
10/26/21 19:38,1,2,9,8,6,2,6,32,0,
10/26/21 19:38,1,2,8,9,5,3,5,53,1,
10/26/21 19:38,1,2,7,9,7,2,6.5,39,0,
10/26/21 19:38,1,2,8,9,3,5,3,52,1,
10/26/21 19:39,1,2,7,9,5,2,5.5,60,0,
10/26/21 19:39,1,2,9,9,5,3,5,28,0,
10/26/21 19:39,1,1,8,8,2,6,2,48,0,
10/26/21 19:40,1,2,9,9,5,1,6,64,0,
10/26/21 19:41,1,2,7,9,7,2,6.5,31,0,
10/26/21 19:41,1,2,9,9,7,6,4.5,31,0,
10/26/21 19:41,1,2,9,9,6,2,6,45,0,
10/26/21 19:42,1,1,1,8,1,6,1.5,55,0,
10/26/21 19:43,1,2,9,9,7,1,7,23,0,
10/26/21 19:43,1,2,9,9,7,1,7,27,1,
10/26/21 19:43,1,1,9,9,5,2,5.5,84,1,
10/26/21 19:44,1,2,7,9,4,4,4,37,0,
10/26/21 19:44,1,1,9,9,2,6,2,31,1,
10/26/21 19:46,1,1,6,7,3,6,2.5,43,2,
10/26/21 19:46,1,1,6,7,6,3,5.5,24,1,
10/26/21 19:47,1,2,1,1,7,1,7,37,1,
10/26/21 19:47,1,1,7,2,2,5,2.5,46,1,
10/26/21 19:47,1,2,6,8,5,3,5,41,1,
10/26/21 19:47,1,2,7,7,6,2,6,28,1,
10/26/21 19:48,1,2,8,9,6,2,6,34,0,
10/26/21 19:48,1,2,8,8,2,6,2,45,0,
10/26/21 19:48,1,1,6,3,5,3,5,31,1,
10/26/21 19:50,1,2,7,9,5,2,5.5,37,1,
10/26/21 19:51,1,1,7,9,6,3,5.5,22,1,
10/26/21 19:51,1,2,7,5,5,3,5,33,1,
10/26/21 19:52,1,1,7,8,3,5,3,30,1,
10/26/21 19:52,1,1,7,7,5,3,5,29,0,
10/26/21 19:52,1,2,9,9,5,3,5,57,0,
10/26/21 19:52,1,2,7,9,5,2,5.5,27,0,
10/26/21 19:55,1,1,7,6,3,6,2.5,41,0,
10/26/21 19:56,1,2,6,7,5,2,5.5,44,1,
10/26/21 19:56,1,2,7,9,6,2,6,32,0,
10/26/21 19:56,1,2,9,9,3,6,2.5,54,0,
10/26/21 19:57,1,2,8,9,5,3,5,23,0,
10/26/21 19:58,1,2,9,9,4,2,5,31,0,
10/26/21 20:00,1,1,7,9,3,2,4.5,27,0,
10/26/21 20:01,1,2,9,9,5,2,5.5,41,1,
10/26/21 20:01,1,2,5,4,6,5,4.5,19,1,
10/26/21 20:03,1,1,7,8,5,3,5,50,1,
10/26/21 20:03,1,2,7,9,5,3,5,33,1,
10/26/21 20:03,1,2,7,8,7,5,5,41,1,
10/26/21 20:05,1,2,9,7,6,2,6,48,0,
10/26/21 20:05,1,2,7,9,2,6,2,30,0,
10/26/21 20:06,1,1,2,1,2,6,2,54,1,
10/26/21 20:07,1,2,9,9,6,1,6.5,47,0,
10/26/21 20:08,1,1,9,9,1,7,1,39,1,
10/26/21 20:08,1,2,9,9,7,1,7,34,1,
10/26/21 20:09,1,2,3,6,5,3,5,53,1,
10/26/21 20:09,1,2,9,9,4,3,4.5,31,1,
10/26/21 20:09,1,2,5,9,4,4,4,40,1,
10/26/21 20:10,1,2,8,8,6,2,6,49,1,
10/26/21 20:11,1,1,7,7,3,5,3,57,1,
10/26/21 20:11,1,2,4,9,5,3,5,34,1,
10/26/21 20:14,1,1,6,7,3,6,2.5,31,1,
10/26/21 20:15,1,2,7,7,5,2,5.5,34,1,
10/26/21 20:15,1,2,9,9,7,1,7,65,0,
10/26/21 20:17,1,2,4,6,4,3,4.5,47,1,
10/26/21 20:19,1,2,9,9,7,1,7,36,0,
10/26/21 20:20,1,1,5,8,5,2,5.5,48,0,
10/26/21 20:20,1,2,5,9,4,3,4.5,32,1,
10/26/21 20:21,1,1,7,7,6,2,6,49,1,
10/26/21 20:21,1,2,9,9,7,7,4,27,0,
10/26/21 20:23,1,2,9,9,7,1,7,33,0,
10/26/21 20:23,1,1,7,9,4,4,4,53,1,
10/26/21 20:26,1,2,9,8,5,3,5,31,1,
10/26/21 20:26,1,1,7,8,4,3,4.5,50,1,
10/26/21 20:26,1,1,3,9,3,6,2.5,58,1,
10/26/21 20:28,1,1,9,9,1,7,1,39,1,
10/26/21 20:29,1,2,7,9,5,2,5.5,47,0,
10/26/21 20:32,1,2,4,8,5,3,5,58,1,
10/26/21 20:34,1,1,8,9,4,3,4.5,47,1,
10/26/21 20:36,1,2,7,7,3,6,2.5,34,1,
10/26/21 20:37,1,1,7,9,1,7,1,28,0,
10/26/21 20:38,1,2,9,9,7,1,7,66,0,
10/26/21 20:40,1,1,8,8,2,6,2,27,0,
10/26/21 20:40,1,2,7,6,3,5,3,40,1,
10/26/21 20:41,1,1,7,8,3,5,3,38,0,
10/26/21 20:43,1,1,9,9,5,3,5,56,1,
10/26/21 20:44,1,1,7,6,3,5,3,35,1,
10/26/21 20:44,1,2,9,9,7,1,7,33,1,
10/26/21 20:46,1,2,5,5,3,5,3,58,0,
10/26/21 20:47,1,1,7,7,4,2,5,60,1,
10/26/21 20:48,1,2,8,9,5,2,5.5,36,0,
10/26/21 20:52,1,2,6,7,5,2,5.5,39,1,
10/26/21 20:56,1,1,9,9,4,4,4,53,0,
10/26/21 21:00,1,1,9,9,5,2,5.5,26,0,
10/26/21 21:00,1,1,5,8,1,7,1,26,1,
10/26/21 21:02,1,2,7,8,5,3,5,58,1,
10/26/21 21:03,1,1,6,8,5,2,5.5,59,0,
10/26/21 21:04,1,2,9,9,4,1,5.5,39,0,
10/26/21 21:05,1,2,5,5,4,4,4,22,1,
10/26/21 21:10,1,2,9,9,6,2,6,50,0,
10/26/21 21:11,1,1,8,9,3,3,4,26,1,
10/26/21 21:11,1,2,9,9,6,2,6,53,1,
10/26/21 21:11,1,2,9,9,7,1,7,41,1,
10/26/21 21:12,1,2,6,7,5,6,3.5,27,1,
10/26/21 21:13,1,2,6,8,5,4,4.5,55,0,
10/26/21 21:13,1,1,2,9,1,5,2,45,1,
10/26/21 21:17,1,2,9,9,6,3,5.5,51,0,
10/26/21 21:17,1,2,5,9,6,2,6,30,0,
10/26/21 21:19,1,2,8,9,6,5,4.5,45,1,
10/26/21 21:20,1,2,7,8,4,3,4.5,36,0,
10/26/21 21:20,1,2,7,9,5,5,4,52,0,
10/26/21 21:22,1,1,9,9,3,5,3,57,0,
10/26/21 21:22,1,1,8,8,2,5,2.5,36,0,
10/26/21 21:22,1,1,9,9,3,3,4,37,1,
10/26/21 21:23,1,2,9,9,6,1,6.5,28,1,
10/26/21 21:24,1,2,7,9,6,3,5.5,65,0,
10/26/21 21:25,1,1,7,5,2,6,2,37,0,
10/26/21 21:31,1,2,7,9,4,4,4,43,1,
10/26/21 21:32,1,2,6,7,6,3,5.5,36,0,
10/26/21 21:33,1,1,9,9,5,3,5,21,0,
10/26/21 21:36,1,2,9,9,5,2,5.5,54,0,
10/26/21 21:37,1,2,9,8,5,3,5,40,0,
10/26/21 21:39,1,1,9,9,2,6,2,21,0,
10/26/21 21:39,1,2,7,9,7,1,7,32,0,
10/26/21 21:41,1,2,8,9,3,5,3,58,0,
10/26/21 21:41,1,2,8,9,7,4,5.5,32,0,
10/26/21 22:07,1,2,9,9,7,1,7,40,1,
10/26/21 19:29,2,1,8,2,3,6,2.5,62,0,
10/26/21 19:29,2,1,3,3,3,5,3,47,1,
10/26/21 19:30,2,1,4,5,3,5,3,47,1,
10/26/21 19:30,2,2,3,6,7,1,7,37,0,
10/26/21 19:30,2,1,2,3,6,1,6.5,34,1,
10/26/21 19:31,2,1,5,9,3,5,3,33,0,
10/26/21 19:31,2,1,4,5,5,3,5,31,0,
10/26/21 19:31,2,1,1,1,7,7,4,31,0,
10/26/21 19:31,2,1,4,7,4,2,5,35,1,
10/26/21 19:32,2,2,5,5,7,3,6,43,0,
10/26/21 19:32,2,2,3,5,6,2,6,29,0,
10/26/21 19:33,2,1,4,6,4,5,3.5,30,4,
10/26/21 19:33,2,1,3,3,3,5,3,43,0,
10/26/21 19:33,2,1,4,7,3,4,3.5,55,0,
10/26/21 19:34,2,2,2,5,6,1,6.5,26,0,
10/26/21 19:34,2,1,2,9,2,6,2,40,1,
10/26/21 19:34,2,1,3,3,2,6,2,53,1,
10/26/21 19:34,2,2,3,3,5,2,5.5,66,0,
10/26/21 19:35,2,2,3,3,3,5,3,59,0,
10/26/21 19:35,2,2,2,3,4,3,4.5,45,0,
10/26/21 19:35,2,2,4,8,3,6,2.5,61,1,
10/26/21 19:35,2,2,3,7,3,5,3,53,0,
10/26/21 19:36,2,1,4,4,4,2,5,29,0,
10/26/21 19:36,2,2,1,3,5,1,6,42,1,
10/26/21 19:36,2,2,3,4,6,2,6,26,2,
10/26/21 19:36,2,1,4,5,2,6,2,32,1,
10/26/21 19:37,2,2,5,5,6,1,6.5,44,0,
10/26/21 19:37,2,1,3,2,5,3,5,33,0,
10/26/21 19:37,2,1,7,7,4,5,3.5,74,1,
10/26/21 19:37,2,2,4,3,5,1,6,27,0,
10/26/21 19:38,2,1,3,7,2,4,3,24,2,
10/26/21 19:38,2,2,7,7,6,3,5.5,34,1,
10/26/21 19:39,2,2,3,6,6,2,6,66,0,
10/26/21 19:39,2,2,4,6,5,3,5,33,1,
10/26/21 19:39,2,1,3,7,3,4,3.5,53,1,
10/26/21 19:39,2,1,4,2,5,4,4.5,38,0,
10/26/21 19:40,2,1,4,5,4,3,4.5,36,1,
10/26/21 19:41,2,1,5,5,5,3,5,63,0,
10/26/21 19:41,2,1,2,2,4,4,4,65,1,
10/26/21 19:41,2,1,3,7,1,7,1,44,1,
10/26/21 19:41,2,1,3,4,2,5,2.5,42,0,
10/26/21 19:42,2,1,3,6,1,7,1,49,1,
10/26/21 19:43,2,2,9,9,7,1,7,38,1,
10/26/21 19:43,2,1,9,9,7,7,4,31,0,
10/26/21 19:44,2,2,2,2,5,3,5,65,0,
10/26/21 19:44,2,1,5,4,4,5,3.5,49,1,
10/26/21 19:45,2,2,2,2,5,2,5.5,39,0,
10/26/21 19:45,2,2,4,4,5,3,5,39,0,
10/26/21 19:46,2,2,7,5,4,4,4,45,0,
10/26/21 19:46,2,2,5,6,5,6,3.5,28,1,
10/26/21 19:46,2,2,4,4,7,1,7,34,0,
10/26/21 19:47,2,2,4,3,5,3,5,45,1,
10/26/21 19:48,2,1,2,1,4,3,4.5,52,1,
10/26/21 19:48,2,1,2,2,1,4,2.5,24,1,
10/26/21 19:49,2,1,7,7,2,6,2,46,0,
10/26/21 19:49,2,1,4,6,3,5,3,59,1,
10/26/21 19:50,2,2,3,2,5,3,5,34,1,
10/26/21 19:50,2,2,5,5,7,1,7,24,1,
10/26/21 19:51,2,1,4,6,3,5,3,57,0,
10/26/21 19:51,2,2,2,8,5,3,5,51,0,
10/26/21 19:51,2,1,6,7,2,7,1.5,64,1,
10/26/21 19:53,2,1,2,4,2,6,2,26,0,
10/26/21 19:53,2,2,3,2,6,1,6.5,26,1,
10/26/21 19:53,2,1,2,3,4,3,4.5,71,1,
10/26/21 19:57,2,2,1,5,7,1,7,33,1,
10/26/21 19:58,2,2,4,4,7,1,7,36,2,
10/26/21 19:58,2,2,2,3,5,2,5.5,35,0,
10/26/21 19:58,2,2,3,7,6,2,6,22,2,
10/26/21 20:01,2,1,5,6,3,6,2.5,54,0,
10/26/21 20:01,2,2,2,2,3,4,3.5,49,0,
10/26/21 20:02,2,1,4,4,4,4,4,31,1,
10/26/21 20:02,2,2,2,3,2,6,2,53,0,
10/26/21 20:04,2,1,5,7,7,1,7,32,0,
10/26/21 20:05,2,1,3,2,4,3,4.5,39,1,
10/26/21 20:06,2,2,2,2,4,2,5,63,1,
10/26/21 20:06,2,1,3,6,5,3,5,33,0,
10/26/21 20:07,2,2,3,1,7,1,7,33,1,
10/26/21 20:07,2,1,3,5,2,6,2,26,1,
10/26/21 20:07,2,1,2,2,4,1,5.5,48,0,
10/26/21 20:09,2,2,6,7,3,5,3,57,1,
10/26/21 20:09,2,1,4,3,4,4,4,33,0,
10/26/21 20:10,2,1,6,7,4,5,3.5,29,1,
10/26/21 20:10,2,2,2,2,4,4,4,59,0,
10/26/21 20:12,2,1,2,2,2,6,2,43,0,
10/26/21 20:12,2,1,3,5,2,6,2,34,1,
10/26/21 20:12,2,1,2,2,3,4,3.5,43,0,
10/26/21 20:12,2,1,2,2,6,2,6,21,0,
10/26/21 20:15,2,1,2,4,5,6,3.5,36,0,
10/26/21 20:17,2,1,3,3,4,4,4,46,1,
10/26/21 20:18,2,1,5,6,2,5,2.5,70,0,
10/26/21 20:18,2,2,4,9,6,2,6,30,0,
10/26/21 20:20,2,1,4,5,4,3,4.5,37,1,
10/26/21 20:21,2,2,3,5,4,4,4,46,1,
10/26/21 20:22,2,2,4,4,3,5,3,54,0,
10/26/21 20:22,2,2,3,4,5,3,5,34,1,
10/26/21 20:23,2,1,2,2,3,6,2.5,46,1,
10/26/21 20:24,2,1,2,3,4,2,5,27,0,
10/26/21 20:25,2,1,4,6,2,6,2,50,0,
10/26/21 20:26,2,2,2,3,5,3,5,26,0,
10/26/21 20:27,2,2,2,3,5,3,5,74,0,
10/26/21 20:28,2,1,2,2,4,2,5,38,0,
10/26/21 20:29,2,2,3,4,5,2,5.5,46,0,
10/26/21 20:33,2,2,1,1,1,6,1.5,46,0,
10/26/21 20:36,2,2,8,9,5,2,5.5,33,0,
10/26/21 20:37,2,1,3,7,1,7,1,38,0,
10/26/21 20:38,2,1,4,6,2,6,2,66,1,
10/26/21 20:40,2,1,1,1,6,1,6.5,39,0,
10/26/21 20:40,2,2,2,3,3,5,3,28,0,
10/26/21 20:40,2,2,9,5,7,1,7,21,0,
10/26/21 20:42,2,1,5,5,2,7,1.5,38,1,
10/26/21 20:43,2,2,2,4,5,2,5.5,39,1,
10/26/21 20:46,2,2,3,7,7,1,7,26,0,
10/26/21 20:46,2,2,3,7,5,4,4.5,36,0,
10/26/21 20:47,2,2,7,8,4,4,4,61,0,
10/26/21 20:50,2,2,6,6,6,3,5.5,41,1,
10/26/21 20:53,2,1,6,8,3,4,3.5,69,0,
10/26/21 20:55,2,2,2,2,5,3,5,26,0,
10/26/21 21:00,2,2,3,5,4,4,4,39,0,
10/26/21 21:01,2,1,3,6,4,3,4.5,52,1,
10/26/21 21:02,2,2,3,2,4,5,3.5,37,0,
10/26/21 21:02,2,2,9,9,5,2,5.5,31,1,
10/26/21 21:04,2,1,3,5,4,4,4,62,0,
10/26/21 21:05,2,2,3,4,4,4,4,38,0,
10/26/21 21:06,2,1,2,3,3,6,2.5,48,0,
10/26/21 21:10,2,1,3,6,5,1,6,45,1,
10/26/21 21:11,2,2,9,9,3,3,4,36,0,
10/26/21 21:12,2,2,1,6,7,1,7,24,1,
10/26/21 21:13,2,1,3,1,1,7,1,37,0,
10/26/21 21:14,2,2,5,6,4,2,5,40,4,
10/26/21 21:16,2,2,7,9,7,1,7,30,1,
10/26/21 21:16,2,2,3,5,7,1,7,28,1,
10/26/21 21:17,2,2,9,9,7,1,7,27,1,
10/26/21 21:17,2,2,3,9,7,1,7,26,0,
10/26/21 21:21,2,1,3,5,5,2,5.5,30,1,
10/26/21 21:21,2,2,3,4,5,2,5.5,41,1,
10/26/21 21:21,2,2,1,5,6,1,6.5,36,0,
10/26/21 21:22,2,2,4,4,7,1,7,25,0,
10/26/21 21:22,2,2,2,7,7,1,7,39,1,
10/26/21 21:22,2,2,3,4,2,6,2,42,0,
10/26/21 21:23,2,1,7,7,1,7,1,42,0,
10/26/21 21:24,2,1,3,2,4,5,3.5,25,0,
10/26/21 21:29,2,2,3,6,5,3,5,33,0,
10/26/21 21:32,2,1,3,5,4,4,4,39,0,
10/26/21 21:35,2,2,5,9,7,1,7,51,1,
10/26/21 21:36,2,1,6,3,4,3,4.5,37,0,
10/26/21 21:36,2,2,5,6,5,2,5.5,29,0,
10/26/21 21:38,2,2,6,9,4,2,5,21,1,
10/26/21 21:39,2,2,3,3,1,6,1.5,70,1,
10/26/21 21:40,2,2,3,3,5,4,4.5,49,0,
10/26/21 21:40,2,1,3,5,2,6,2,28,1,
10/26/21 21:42,2,1,5,5,3,5,3,60,1,
10/26/21 22:05,2,1,3,4,5,3,5,45,0,