StartDate,EndDate,Attention_check,Understanding,Intentions,Empowerment1,Empowerment2,Gender,Age,Condition
9/21/2023 16:00,9/21/2023 16:01,7,2,4,1,2,2,39,Control
9/21/2023 16:00,9/21/2023 16:01,6,1,2,4,4,2,32,ProspectofEx-AnteExplanation
9/21/2023 16:00,9/21/2023 16:01,5,6,4,7,7,1,53,ProspectofEx-PostExplanation
9/21/2023 16:00,9/21/2023 16:01,21,2,1,1,1,2,28,ProspectofEx-PostExplanation
9/21/2023 16:01,9/21/2023 16:02,7,,,,,,,
9/21/2023 16:01,9/21/2023 16:02,5,4,2,3,3,2,64,Control
9/21/2023 16:01,9/21/2023 16:02,6,7,7,7,7,2,31,Control
9/21/2023 16:00,9/21/2023 16:02,5,4,5,6,7,2,43,ProspectofEx-AnteExplanation
9/21/2023 16:00,9/21/2023 16:02,11,5,1,6,4,1,46,ProspectofEx-AnteExplanation
9/21/2023 16:02,9/21/2023 16:02,8,,,,,,,
9/21/2023 16:02,9/21/2023 16:03,15,,,,,,,
9/21/2023 16:02,9/21/2023 16:03,7,1,1,1,1,1,51,Control
9/21/2023 16:01,9/21/2023 16:03,5,3,1,3,2,1,44,ProspectofEx-AnteExplanation
9/21/2023 16:02,9/21/2023 16:03,12,2,2,3,3,1,34,ProspectofEx-PostExplanation
9/21/2023 16:02,9/21/2023 16:03,7,2,4,5,6,2,67,Control
9/21/2023 16:00,9/21/2023 16:03,8,1,2,3,3,1,68,ProspectofEx-PostExplanation
9/21/2023 16:02,9/21/2023 16:04,9,3,5,3,5,2,55,ProspectofEx-PostExplanation
9/21/2023 16:03,9/21/2023 16:04,8,3,4,4,7,2,47,Control
9/21/2023 16:01,9/21/2023 16:04,69,6,5,6,5,1,41,ProspectofEx-AnteExplanation
9/21/2023 16:01,9/21/2023 16:04,27,6,6,5,6,2,35,ProspectofEx-AnteExplanation
9/21/2023 16:03,9/21/2023 16:04,6,5,3,2,2,1,59,ProspectofEx-AnteExplanation
9/21/2023 16:02,9/21/2023 16:04,14,6,6,5,6,2,24,ProspectofEx-PostExplanation
9/21/2023 16:03,9/21/2023 16:04,5,3,2,4,3,2,31,Control
9/21/2023 16:03,9/21/2023 16:04,8,2,1,4,4,1,47,ProspectofEx-AnteExplanation
9/21/2023 16:04,9/21/2023 16:05,8,3,5,4,4,1,41,ProspectofEx-AnteExplanation
9/21/2023 16:01,9/21/2023 16:05,17,4,1,1,1,1,39,Control
9/21/2023 16:04,9/21/2023 16:05,5,,,,,,,
9/21/2023 16:03,9/21/2023 16:05,6,2,1,3,4,1,69,ProspectofEx-PostExplanation
9/21/2023 16:04,9/21/2023 16:05,5,,,,,,,
9/21/2023 16:03,9/21/2023 16:05,18,1,1,1,1,1,52,ProspectofEx-AnteExplanation
9/21/2023 16:04,9/21/2023 16:05,7,4,2,4,4,1,60,Control
9/21/2023 16:03,9/21/2023 16:05,16,1,1,5,4,1,46,ProspectofEx-PostExplanation
9/21/2023 16:03,9/21/2023 16:05,8,1,4,5,5,2,33,ProspectofEx-PostExplanation
9/21/2023 16:05,9/21/2023 16:05,0,,,,,,,
9/21/2023 16:04,9/21/2023 16:05,10,1,1,2,4,1,72,ProspectofEx-PostExplanation
9/21/2023 16:05,9/21/2023 16:06,5,4,5,5,5,2,50,Control
9/21/2023 16:05,9/21/2023 16:06,5,,,,,,,
9/21/2023 16:01,9/21/2023 16:06,13,1,2,1,1,1,36,Control
9/21/2023 16:05,9/21/2023 16:06,12,3,4,6,6,1,32,ProspectofEx-AnteExplanation
9/21/2023 16:06,9/21/2023 16:06,9,3,3,3,3,1,36,Control
9/21/2023 16:06,9/21/2023 16:06,5,,,,,,,
9/21/2023 16:04,9/21/2023 16:07,13,2,3,2,5,1,48,ProspectofEx-AnteExplanation
9/21/2023 16:00,9/21/2023 16:07,35,5,6,6,7,2,33,ProspectofEx-AnteExplanation
9/21/2023 16:06,9/21/2023 16:07,12,5,4,4,5,2,61,Control
9/21/2023 16:06,9/21/2023 16:07,52,3,3,3,3,1,31,ProspectofEx-PostExplanation
9/21/2023 16:06,9/21/2023 16:07,8,1,2,1,1,2,33,Control
9/21/2023 16:06,9/21/2023 16:07,31,7,7,7,7,1,45,ProspectofEx-AnteExplanation
9/21/2023 16:05,9/21/2023 16:07,6,2,2,6,7,1,31,ProspectofEx-PostExplanation
9/21/2023 16:06,9/21/2023 16:07,11,2,2,5,5,1,38,ProspectofEx-AnteExplanation
9/21/2023 16:06,9/21/2023 16:07,14,2,2,4,4,2,54,Control
9/21/2023 16:06,9/21/2023 16:08,8,1,1,1,1,1,34,ProspectofEx-PostExplanation
9/21/2023 16:07,9/21/2023 16:08,12,2,2,2,2,1,26,Control
9/21/2023 16:07,9/21/2023 16:08,24,5,3,5,2,2,23,ProspectofEx-AnteExplanation
9/21/2023 16:07,9/21/2023 16:08,12,3,3,4,4,1,56,Control
9/21/2023 16:08,9/21/2023 16:08,14,5,7,7,7,1,32,ProspectofEx-AnteExplanation
9/21/2023 16:06,9/21/2023 16:08,15,7,6,6,6,1,43,ProspectofEx-PostExplanation
9/21/2023 16:04,9/21/2023 16:09,14,4,3,4,4,1,25,Control
9/21/2023 16:07,9/21/2023 16:09,7,2,4,5,4,1,66,ProspectofEx-AnteExplanation
9/21/2023 16:05,9/21/2023 16:09,8,5,6,5,6,2,35,ProspectofEx-PostExplanation
9/21/2023 16:08,9/21/2023 16:09,23,1,1,1,1,2,51,ProspectofEx-PostExplanation
9/21/2023 16:08,9/21/2023 16:10,5,2,2,3,3,2,37,ProspectofEx-AnteExplanation
9/21/2023 16:08,9/21/2023 16:10,25,1,2,3,3,2,47,ProspectofEx-PostExplanation
9/21/2023 16:09,9/21/2023 16:10,10,2,1,2,2,1,45,Control
9/21/2023 16:09,9/21/2023 16:11,6,4,5,6,6,2,31,ProspectofEx-AnteExplanation
9/21/2023 16:10,9/21/2023 16:11,15,2,2,2,2,2,60,Control
9/21/2023 16:09,9/21/2023 16:11,9,1,2,1,1,2,33,Control
9/21/2023 16:11,9/21/2023 16:11,5,5,6,2,2,2,22,Control
9/21/2023 16:09,9/21/2023 16:11,6,6,4,4,4,2,47,Control
9/21/2023 16:10,9/21/2023 16:12,8,2,1,5,3,1,53,ProspectofEx-AnteExplanation
9/21/2023 16:10,9/21/2023 16:12,6,2,2,2,2,2,53,ProspectofEx-AnteExplanation
9/21/2023 16:09,9/21/2023 16:12,5,6,4,1,5,2,31,ProspectofEx-PostExplanation
9/21/2023 16:11,9/21/2023 16:12,8,2,1,2,2,1,37,ProspectofEx-PostExplanation
9/21/2023 16:09,9/21/2023 16:12,5,1,2,7,7,2,48,ProspectofEx-PostExplanation
9/21/2023 16:11,9/21/2023 16:12,16,5,4,6,6,2,59,ProspectofEx-AnteExplanation
9/21/2023 16:09,9/21/2023 16:12,8,5,3,4,4,1,43,ProspectofEx-PostExplanation
9/21/2023 16:11,9/21/2023 16:12,7,2,2,2,4,2,47,Control
9/21/2023 16:12,9/21/2023 16:13,8,4,6,4,6,1,26,Control
9/21/2023 16:12,9/21/2023 16:13,10,4,1,7,7,1,33,ProspectofEx-AnteExplanation
9/21/2023 16:11,9/21/2023 16:13,6,2,3,2,3,2,65,ProspectofEx-PostExplanation
9/21/2023 16:12,9/21/2023 16:13,22,4,3,1,1,2,33,Control
9/21/2023 16:12,9/21/2023 16:13,5,1,1,1,1,2,30,ProspectofEx-PostExplanation
9/21/2023 16:12,9/21/2023 16:14,5,1,2,1,2,2,32,ProspectofEx-PostExplanation
9/21/2023 16:12,9/21/2023 16:14,10,4,3,4,4,2,64,ProspectofEx-PostExplanation
9/21/2023 16:07,9/21/2023 16:14,5,6,7,7,7,1,33,ProspectofEx-AnteExplanation
9/21/2023 16:12,9/21/2023 16:14,10,4,4,5,3,2,73,ProspectofEx-AnteExplanation
9/21/2023 16:13,9/21/2023 16:14,5,4,5,5,5,1,30,ProspectofEx-AnteExplanation
9/21/2023 16:09,9/21/2023 16:14,7,7,7,6,7,1,33,ProspectofEx-AnteExplanation
9/21/2023 16:11,9/21/2023 16:14,7,3,4,4,4,2,36,Control
9/21/2023 16:14,9/21/2023 16:15,6,,,,,,,
9/21/2023 16:14,9/21/2023 16:15,29,1,1,1,1,1,28,Control
9/21/2023 16:13,9/21/2023 16:15,5,3,2,3,3,1,58,Control
9/21/2023 16:15,9/21/2023 16:15,8,3,4,4,4,2,42,ProspectofEx-PostExplanation
9/21/2023 16:14,9/21/2023 16:15,11,1,1,1,1,1,68,ProspectofEx-PostExplanation
9/21/2023 16:14,9/21/2023 16:15,10,1,2,2,2,1,33,ProspectofEx-PostExplanation
9/21/2023 16:14,9/21/2023 16:16,12,5,5,5,5,2,58,ProspectofEx-AnteExplanation
9/21/2023 16:14,9/21/2023 16:16,12,1,4,6,5,2,53,ProspectofEx-AnteExplanation
9/21/2023 16:15,9/21/2023 16:16,16,5,3,3,3,1,43,Control
9/21/2023 16:16,9/21/2023 16:17,7,7,1,5,7,1,49,Control
9/21/2023 16:16,9/21/2023 16:17,11,1,1,1,2,1,49,ProspectofEx-PostExplanation
9/21/2023 16:16,9/21/2023 16:18,5,4,5,6,5,1,47,ProspectofEx-AnteExplanation
9/21/2023 16:17,9/21/2023 16:18,37,,,,,,,
9/21/2023 16:17,9/21/2023 16:18,6,2,1,3,3,2,52,Control
9/21/2023 16:17,9/21/2023 16:18,10,4,5,5,4,2,37,ProspectofEx-AnteExplanation
9/21/2023 16:17,9/21/2023 16:19,8,1,2,4,4,1,68,ProspectofEx-PostExplanation
9/21/2023 16:18,9/21/2023 16:19,29,4,4,1,1,2,36,ProspectofEx-AnteExplanation
9/21/2023 16:18,9/21/2023 16:19,5,,,,,,,
9/21/2023 16:17,9/21/2023 16:19,18,1,2,4,4,2,27,Control
9/21/2023 16:18,9/21/2023 16:19,16,1,4,4,4,2,64,ProspectofEx-PostExplanation
9/21/2023 16:16,9/21/2023 16:20,6,1,1,1,1,2,31,Control
9/21/2023 16:18,9/21/2023 16:20,48,5,6,5,7,2,39,ProspectofEx-AnteExplanation
9/21/2023 16:19,9/21/2023 16:20,10,5,6,5,6,1,38,ProspectofEx-AnteExplanation
9/21/2023 16:19,9/21/2023 16:20,33,,,,,,,
9/21/2023 16:18,9/21/2023 16:21,6,1,1,2,2,2,64,ProspectofEx-PostExplanation
9/21/2023 16:20,9/21/2023 16:21,7,1,4,4,4,1,40,Control
9/21/2023 16:20,9/21/2023 16:21,5,2,1,2,2,2,70,ProspectofEx-PostExplanation
9/21/2023 16:20,9/21/2023 16:21,5,5,6,7,6,1,25,ProspectofEx-AnteExplanation
9/21/2023 16:21,9/21/2023 16:21,16,2,2,3,3,2,48,Control
9/21/2023 16:21,9/21/2023 16:22,14,4,5,5,5,2,44,Control
9/21/2023 16:21,9/21/2023 16:22,14,2,2,3,2,2,54,ProspectofEx-PostExplanation
9/21/2023 16:20,9/21/2023 16:22,7,5,2,3,4,1,42,ProspectofEx-PostExplanation
9/21/2023 16:21,9/21/2023 16:22,5,4,3,5,5,2,41,ProspectofEx-AnteExplanation
9/21/2023 16:21,9/21/2023 16:22,5,5,4,5,5,1,23,ProspectofEx-PostExplanation
9/21/2023 16:21,9/21/2023 16:23,30,1,3,1,4,1,46,Control
9/21/2023 16:21,9/21/2023 16:23,5,5,4,6,6,2,34,ProspectofEx-AnteExplanation
9/21/2023 16:21,9/21/2023 16:23,20,4,3,4,3,2,52,Control
9/21/2023 16:22,9/21/2023 16:23,14,2,1,4,4,2,29,ProspectofEx-PostExplanation
9/21/2023 16:22,9/21/2023 16:23,10,1,1,1,1,1,32,ProspectofEx-AnteExplanation
9/21/2023 16:22,9/21/2023 16:23,6,4,4,5,5,1,62,Control
9/21/2023 16:23,9/21/2023 16:23,5,,,,,,,
9/21/2023 16:22,9/21/2023 16:23,4,,,,,,,
9/21/2023 16:22,9/21/2023 16:23,8,4,2,2,2,1,30,ProspectofEx-PostExplanation
9/21/2023 16:22,9/21/2023 16:23,11,4,2,5,5,1,64,ProspectofEx-AnteExplanation
9/21/2023 16:22,9/21/2023 16:24,17,3,1,2,4,2,39,ProspectofEx-PostExplanation
9/21/2023 16:23,9/21/2023 16:24,8,1,1,2,3,1,44,Control
9/21/2023 16:22,9/21/2023 16:25,13,4,5,5,4,1,67,ProspectofEx-PostExplanation
9/21/2023 16:22,9/21/2023 16:25,12,1,1,4,3,2,41,ProspectofEx-AnteExplanation
9/21/2023 16:24,9/21/2023 16:25,6,4,2,4,4,1,41,Control
9/21/2023 16:24,9/21/2023 16:26,13,2,2,2,2,1,22,ProspectofEx-AnteExplanation
9/21/2023 16:24,9/21/2023 16:26,7,7,1,1,1,1,56,ProspectofEx-PostExplanation
9/21/2023 16:26,9/21/2023 16:26,6,,,,,,,
9/21/2023 16:24,9/21/2023 16:26,10,4,4,4,4,3,31,ProspectofEx-AnteExplanation
9/21/2023 16:24,9/21/2023 16:26,30,3,2,3,3,1,39,Control
9/21/2023 16:25,9/21/2023 16:27,7,3,2,4,3,2,30,Control
9/21/2023 16:26,9/21/2023 16:27,7,1,3,2,2,1,49,ProspectofEx-AnteExplanation
9/21/2023 16:26,9/21/2023 16:28,7,1,1,1,1,2,57,ProspectofEx-PostExplanation
9/21/2023 16:22,9/21/2023 16:28,5,,,,,,,
9/21/2023 16:28,9/21/2023 16:28,5,,,,,,,
9/21/2023 16:28,9/21/2023 16:28,13,2,3,4,3,1,35,Control
9/21/2023 16:27,9/21/2023 16:28,5,4,3,4,5,1,35,ProspectofEx-AnteExplanation
9/21/2023 16:28,9/21/2023 16:29,11,5,4,6,6,1,33,ProspectofEx-PostExplanation
9/21/2023 16:28,9/21/2023 16:29,11,3,3,3,3,1,30,Control
9/21/2023 16:27,9/21/2023 16:29,14,1,2,2,2,1,73,ProspectofEx-PostExplanation
9/21/2023 16:26,9/21/2023 16:29,7,6,1,1,1,2,71,ProspectofEx-AnteExplanation
9/21/2023 16:28,9/21/2023 16:29,26,1,4,4,4,2,42,Control
9/21/2023 16:27,9/21/2023 16:30,8,4,4,5,4,2,36,ProspectofEx-AnteExplanation
9/21/2023 16:28,9/21/2023 16:30,7,2,3,3,3,1,56,Control
9/21/2023 16:29,9/21/2023 16:31,6,4,3,1,4,2,67,ProspectofEx-PostExplanation
9/21/2023 16:28,9/21/2023 16:31,5,5,4,6,6,1,37,ProspectofEx-AnteExplanation
9/21/2023 16:30,9/21/2023 16:31,10,1,4,3,3,1,46,Control
9/21/2023 16:30,9/21/2023 16:31,5,1,1,1,1,2,67,ProspectofEx-PostExplanation
9/21/2023 16:31,9/21/2023 16:31,5,5,3,4,4,2,31,Control
9/21/2023 16:28,9/21/2023 16:31,30,7,6,6,5,1,20,ProspectofEx-PostExplanation
9/21/2023 16:30,9/21/2023 16:32,21,1,1,1,1,2,36,ProspectofEx-PostExplanation
